Feature,Correlation
Spread,0.265341996001693
Underdog: Average Scoring Margin Last 1 Game vs. season average,0.156766081942871
Favorite: Average Scoring Margin This Season,0.152689323487126
Favorite: Points per Game This Season,0.138108705057043
Favorite: Turnover Margin per Game This Season,0.122670962909463
Favorite: Touchdowns per Game This Season,0.122169449932831
Underdog: Opponent Points per Game This Season,0.108582209861179
Favorite: Red Zone Scoring Attempts per Game This Season,0.10602256017236
Favorite: Takeaways per Game This Season,0.0966226590465501
Favorite Win Percent,0.0942521812542992
Underdog: Giveaways per Game This Season,0.0878240194277782
Underdog: Interceptions Thrown per Game This Season,0.0859610605924396
Underdog: Points per Game Last 1 Game vs. season average,0.0815272195414047
Underdog: Average Scoring Margin Last 3 Games vs. season average,0.081294679040799
Underdog: Turnover Margin per Game Last 1 Game vs. season average,0.0801018985364088
Underdog: Opponent Rushing Yards per Game This Season,0.0792626703425992
Underdog: Sacks per Game Last 1 Game vs. season average,0.0747851058842519
Favorite: QB Sacked per Game Last 1 Game vs. season average,0.0714486786705379
Favorite: Opponent Points per Game Last 1 Game vs. season average,0.0695289174722441
Underdog: Time of Possession Percentage (Excluding OT) Last 1 Game vs. season average,0.0645210879234538
Favorite: Non-Offensive Touchdowns per Game This Season,0.0639852610105916
Favorite: Rushing Yards per Game This Season,0.0637703878132148
Underdog: Takeaways per Game Last 1 Game vs. season average,0.0625404173836876
Underdog: Seconds per Play Last 1 Game vs. season average,0.0624690097142475
Favorite: Interceptions Thrown per Game Last 1 Game vs. season average,0.0614427917403144
Underdog: Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.0607456504104457
Underdog: Sack Percentage Last 1 Game vs. season average,0.059906751725979
Underdog: Opponent Yards per Game This Season,0.0596569558700667
Underdog: Touchdowns per Game Last 1 Game vs. season average,0.0583652981342154
Favorite: Tackles per Game Last 1 Game vs. season average,0.054676835822232
Favorite: Sacks per Game This Season,0.0539756391766938
Underdog: Third Down Conversions per Game Last 1 Game vs. season average,0.0538937628687312
Underdog: Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.0535302836009267
Favorite: Third Down Conversions per Game This Season,0.0528920564645826
Underdog: Non-Offensive Touchdowns per Game Last 1 Game vs. season average,0.0522173481376708
Underdog: Seconds per Play Last 3 Games vs. season average,0.0521679985461573
Underdog: Red Zone Scoring Attempts per Game Last 1 Game vs. season average,0.0508726518952638
Favorite: QB Sacked Percentage Last 1 Game vs. season average,0.0506416429507894
Underdog: Opponent Tackles per Game Last 1 Game vs. season average,0.0500328551017787
Underdog: Time of Possession Percentage (Excluding OT) Last 3 Games vs. season average,0.0499814392338904
Underdog: Third Downs per Game Last 1 Game vs. season average,0.0499694765233716
Favorite: Giveaways per Game Last 1 Game vs. season average,0.0497609806385745
Underdog: Rushing Yards per Game Last 3 Games vs. season average,0.0485095749769839
Favorite: Opponent Third Down Conversion Percentage Last 1 Game vs. season average,0.0478418099378714
Favorite: Opponent Third Down Conversions per Game Last 1 Game vs. season average,0.0460514910917423
Underdog: Rushing Yards per Game Last 1 Game vs. season average,0.0432589156175062
Underdog: Sacks per Game @ vs. season average,0.0426043091342621
Favorite: Opponent Yards per Game Last 1 Game vs. season average,0.0421141748380333
Favorite: Opponent Third Downs per Game Last 1 Game vs. season average,0.0412341467991982
Underdog: Points per Game Last 3 Games vs. season average,0.0404505521943131
Favorite: Red Zone Scoring Percentage (TD only) This Season,0.0401415648498534
Favorite: Opponent Points per Game Last 3 Games vs. season average,0.0388742505413868
Favorite: Opponent Rushing Yards per Game Last 1 Game vs. season average,0.0388001228076313
