Matchup,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
Minnesota (-3.5) @ LA Rams,0,0.1875,0,-2,-4,-2,0.3400000000000034,-0.22999999999999998,-20.27,-1.1800000000000002,1.5,-0.2,1.5,0.2,-1.8000000000000007,-0.09999999999999998,-2.8,-1.2,-1.3,-0.3,-0.30000000000000004,0,0.5,0.2,0.49999999999999994,-0.8,1,0.3,4,-0.4,3,-1.7,-6,-0.30000000000000004,1.2000000000000002,-0.4,-1.8,0.19999999999999998,21.19999999999999,-0.8,133.2,6.200000000000001,0.30000000000000004,-0.4,-1.7,0.6,1.02,0.6600000000000001,1.67,-0.42000000000000004,-0.3000000000000007,-0.7,-4.3,-1,1,-27.7,-99,-15.000000000000002,9,0.3,0,3.7,0.5,-0.2,3.5,0.19999999999999996,2,1,9,-0.6999999999999997,0.9999999999999998,0,4,0,3.0799999999999983,8.33,-16.92,10.200000000000001,1,0.30000000000000004,1,0.7000000000000001,0.49999999999999994,-0.2,3.5,0.8,20,0.2999999999999998,-104,15.299999999999999,1.4000000000000004,-0.5,-1.5,0
Baltimore (-9.5) @ Cleveland,0,0.23529411764705882,1,2,11,1,7.230000000000004,-2.19,-10.42,-3.55,2.7,-0.8999999999999999,-2.3,-0.3,9.200000000000001,-2.8,5.2,0.20000000000000007,-1.9000000000000001,-0.6,-0.8999999999999999,0.39999999999999997,-0.20000000000000007,-0.2,0.8,1,0.6,-0.09999999999999998,-1.4000000000000001,-0.4,3.6000000000000005,-2,-7.4,-2.9,2.4000000000000004,-1.3,-2.6,-0.7999999999999999,-142.4,51.3,113.6,35.3,-0.4,0.3,-1.4000000000000001,0.1,-0.97,-0.16,2.88,2.02,4.5,-2.1,4.5,1.2,91,-44.400000000000006,86,7.799999999999999,15.500000000000002,-7.5,-11.5,-1.7,-3.0000000000000004,1,2,0.9,11.700000000000003,1,2.6999999999999997,-4.3,0.30000000000000004,0,-1.7,-0.3,26.29,-4.02,30.9,3.29,2.1,-0.8999999999999999,-0.9,0.10000000000000003,0.5,0.2,-2.5,-1.3,207.49999999999997,-32.5,35.49999999999999,-15.500000000000002,3.8999999999999995,-1.1,-3.6,-0.30000000000000004
Detroit (-11.5) vs Tennessee,1,0.25,-1,2,2,5,9.309999999999988,-14.969999999999999,-16.19,-0.3700000000000001,1.4999999999999998,-1.8,-1.5,0.19999999999999998,5.5,-0.09999999999999998,4.5,-0.5,0.3999999999999999,0.7,1.4,0.10000000000000003,-1.2,-0.19999999999999996,-0.2,-0.2,1.1,-0.30000000000000004,0.09999999999999998,0.09999999999999998,2.000000000000001,0.7,-0.9999999999999998,2.6999999999999997,2.3,-1,-0.7,1,-55.69999999999999,27.900000000000002,-29.7,4.3,0,-0.30000000000000004,1,0.7,-2.1500000000000004,1.26,0.3500000000000001,-0.76,3.8000000000000007,-1.6,1.7999999999999998,0.10000000000000009,110.5,-33.2,63.5,-19.9,12.600000000000001,-8.1,-8.4,3.9,-2,0.7,-1,0.3,5.800000000000001,6.2,2.8,7.1,1.3,-0.7,0.30000000000000004,0.7,13.04,1.5,10.54,-5.21,1.9000000000000001,-1.4000000000000001,-1.1,0.30000000000000004,2.5,-0.5,0.5,0.8999999999999999,152.60000000000002,-13.399999999999999,50.6,6.6,3.8000000000000007,-4.3,-2,0.5000000000000001
Houston (-5.5) vs Indianapolis,1,0.05882352941176472,6,4,3,1,8.220000000000006,6.16,2.2699999999999996,2.1899999999999995,-0.2999999999999998,-0.7,-0.2999999999999998,0,0.9000000000000021,3.5,1.8999999999999995,2.5,0.10000000000000009,0.5,0.10000000000000009,0.7,-0.30000000000000004,-0.3,0.7,0.10000000000000003,0.4,-0.19999999999999998,-1.6,0.4,2.3,0.9000000000000001,2.3,-0.4,0.5,-0.19999999999999996,-1.5,0.5,4.5,12.499999999999996,29.5,-68.19999999999999,-0.7000000000000001,-0.30000000000000004,0.30000000000000004,0.7,-1.6800000000000002,-2.95,-1.6800000000000002,0.86,3.799999999999999,4.4,3.8,1.7999999999999998,21.299999999999983,56,95.3,-33.7,1.5,-3.8999999999999995,-4.5,0.8,0.2999999999999998,0.6000000000000001,1.3,-1.4,0.1999999999999993,-1.2,4.2,-3.0999999999999996,-0.20000000000000018,-0.8,-1.2000000000000002,0.39999999999999997,-0.9099999999999966,1.95,-0.9100000000000001,-2.99,-0.20000000000000018,-0.8999999999999999,-1.2000000000000002,0.10000000000000003,0.10000000000000003,-0.5,-1.9000000000000001,0.5000000000000001,20.399999999999977,23.7,107.39999999999999,-18.299999999999997,-0.09999999999999964,-0.19999999999999996,1.2000000000000002,-1.7
Green Bay (-4.5) @ Jacksonville,0,0.17647058823529416,3,3,8,1,1.1099999999999994,8.52,3.380000000000001,10.49,0.7000000000000002,0.09999999999999998,0.7,0.5,1.6000000000000014,0.30000000000000004,6.6,2.5999999999999996,-1.5,-0.10000000000000003,-0.5000000000000001,-0.8,0.6000000000000001,0.19999999999999998,-2.4,0.9,1.2,1.2,1.2,-0.5,1.6000000000000005,2,1.5999999999999999,1.9,0.5,1.5,2.5,1.3,-3.5,-51.5,-199.5,-39.199999999999996,1.1,0.5,1.1,0.8,2.3999999999999995,0.21999999999999997,-3.66,1.46,0.09999999999999964,0.3999999999999999,-2.9000000000000004,3.4,25.80000000000001,67.1,23.799999999999997,96.60000000000001,5.900000000000002,6.8999999999999995,13.9,3.1999999999999997,0,-1,-3,-1.5,6.800000000000001,4.8,25.799999999999997,-0.4999999999999998,2,1,2,-0.19999999999999998,6.299999999999997,12.01,26.3,10.610000000000001,0.7000000000000002,0.7,1.7,0.2,1.5,0.8,4.5,-1,56.5,90.5,143.5,94.8,0.8000000000000007,2,3.8,1.4000000000000001
Miami (-4.5) vs Arizona,1,-0.03492647058823528,4,-1,-2,-1,-4.829999999999998,-1.8200000000000003,-8.67,-1.43,-1.3,-0.29999999999999993,-0.3,-1,-1.3000000000000007,-0.6,2.7,-0.6000000000000001,1.4,0.4,1.4,-1.2000000000000002,0,0,-1,0.4,-0.19999999999999996,0.5,-0.19999999999999996,0.5,-1.3999999999999995,-0.39999999999999997,-0.40000000000000013,0.8999999999999999,-1,-1,-1,0.3,36.10000000000002,-2.5,-58.900000000000006,-3.8999999999999986,-0.09999999999999998,0.9,1.9000000000000001,-0.4,0.6100000000000001,1.6099999999999999,4.46,-1.37,-0.09999999999999964,1.9,1.9000000000000001,0.2,-1.5,45.900000000000006,-5.5,-21.5,-9.7,-4,-2.7,-1.9999999999999998,1.1,-0.3,-0.9,0.5,3.6999999999999993,-7.300000000000001,-7.299999999999999,-1.2999999999999998,-0.5999999999999999,0.7,0.39999999999999997,0.4,-7.339999999999996,-0.33000000000000007,-18.77,-4.449999999999999,-1.2999999999999998,-0.6,-0.3,-0.6,-0.6,0.7,1.4,0.1,-23.100000000000023,8.2,-34.1,-24.5,-0.39999999999999947,0.19999999999999996,-1,-1
NY Jets (-7.5) @ New England,0,0.05882352941176466,2,0,1,4,1.5599999999999952,3.72,10.290000000000001,-1.2699999999999996,0.3999999999999999,0.4,0.39999999999999997,0.6,2.700000000000001,1,2.7,3.7,-0.7,-0.4,-1.7000000000000002,-0.7,0.19999999999999996,-0.49999999999999994,-1.8,-0.3,-0.10000000000000003,0.3,-0.10000000000000003,0.09999999999999998,-0.5,-1.5,2.4999999999999996,1.2000000000000002,0.3999999999999999,0.4,1.4,0.4,-29.5,6.200000000000001,-84.5,22.400000000000002,-0.7000000000000001,-0.4,-0.7000000000000001,-0.19999999999999998,1.24,-1.53,-3.8899999999999997,-0.5800000000000001,3.0999999999999996,1.4000000000000001,3.0999999999999996,1.3,72.69999999999999,24.4,60.699999999999996,21.1,4.200000000000001,2.6,5.199999999999999,2.4,-0.6999999999999993,0.6000000000000001,-0.7000000000000001,0.5,-3.599999999999998,-0.3000000000000007,-3.6000000000000005,5.4,-0.09999999999999998,0.2,-0.09999999999999998,-0.1,6.450000000000003,9.89,26.450000000000003,-1.38,0.7000000000000002,0.7,0.7,0.19999999999999996,-0.30000000000000004,0.7,1.7000000000000002,0.2,44.10000000000002,15.8,16.1,67.1,0.6000000000000005,0.7,1,0.6
Atlanta (-2.5) @ Tampa Bay,0,0,-4,-3,0,2,-3.710000000000008,-2.03,-4.26,1.16,-1,0,-1,-0.5,-2.400000000000002,-0.6999999999999997,3.6000000000000005,-1.9,1,-0.4,0,1,0.09999999999999987,0.39999999999999997,-0.9000000000000001,0.6000000000000001,0,0.3,0,-1.5,0.3000000000000007,0.3,3.3000000000000003,-3.7,-1.1000000000000005,0.9,1.9,-2.3,-15.099999999999994,0.30000000000000426,-37.1,35.699999999999996,-0.8999999999999999,-0.6,0.1,0.4,-0.1200000000000001,2.24,-1.24,1.82,-1.6999999999999993,-2.4000000000000004,4.300000000000001,3.0999999999999996,0.5999999999999943,-22.699999999999996,142.6,47.099999999999994,-6.599999999999998,1.4000000000000004,10.4,-9.6,-0.6000000000000001,0,-1.6,0.7,-1,0,-2.9999999999999996,-8.7,-0.3999999999999999,0.3,0.6,-0.9,-12.620000000000005,-0.870000000000001,-1.2400000000000002,2.98,-1.2000000000000002,0.20000000000000007,0.8,-0.8999999999999999,-0.5,-0.10000000000000003,1.5,-1.5,-15,7,97,-33.7,-0.3000000000000007,0.2,1.1,-0.7
Cincinnati (-2.5) vs Philadelphia,1,-0.09007352941176472,-4,-2,6,0,2.9099999999999966,-3.8,9.58,-6.75,0.30000000000000027,0,1.2999999999999998,0.4,-1.3000000000000007,1,6.7,-3,-1.5999999999999999,0.4,0.39999999999999997,0,-0.4,-0.39999999999999997,-0.4,0.4,0.6000000000000001,-0.4,-1.4000000000000001,1.1,1.6000000000000005,2.3,2.5999999999999996,0.19999999999999996,1.0999999999999996,0.39999999999999997,2.1,-0.30000000000000004,20.299999999999983,-6.400000000000006,73.29999999999998,58.8,-0.09999999999999998,0.19999999999999998,1.9,-0.10000000000000003,-1.4500000000000002,-2.54,-1.4500000000000002,0.17,2.4000000000000004,-2.1999999999999997,0.40000000000000036,-3,41.900000000000006,-50.699999999999996,-52.099999999999994,-52.6,3.099999999999998,-0.9,10.100000000000001,-0.6000000000000001,0.2999999999999998,-0.6999999999999997,0.2999999999999998,1.6,-11.100000000000001,-0.09999999999999998,8.9,1.2000000000000002,0.8,-0.5,-1.2,1,6.609999999999999,-0.23000000000000043,-1.0799999999999983,-13.34,0.2999999999999998,-0.3,1.3,0,1.3,-0.10000000000000003,-0.7,0.7,-30.5,-40.8,85.5,-38.800000000000004,0.20000000000000018,-0.6,0.6,-0.7
LA Chargers (-7.5) vs New Orleans,1,0.08639705882352944,3,-7,-5,2,-0.39000000000000057,-2.99,2.1700000000000004,5.17,-1.4000000000000001,-0.7,-0.40000000000000013,0.6000000000000001,-2.6999999999999993,-4.7,-7.7,6.8,-1.0999999999999999,0.5,1.9000000000000001,-0.30000000000000004,-0.9000000000000001,0.4,-0.9,0.39999999999999997,-0.3999999999999999,-0.1,-1.4,-0.1,1.3999999999999995,-3.9000000000000004,-9.6,-0.5999999999999999,-0.7999999999999998,-1.5,-2.8000000000000003,0,52.400000000000006,95,211.39999999999998,-119.1,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.7999999999999999,-2.19,0.43999999999999995,-2.19,1.26,-0.09999999999999964,-0.8,-7.1,2.4,-12.900000000000006,-65.2,-174.9,49.599999999999994,-7.600000000000001,-6.8999999999999995,-12.600000000000001,3.4,1.0999999999999996,2.4000000000000004,5.1,-2.7,1.3000000000000007,-7.7,0.2999999999999998,4.800000000000001,-0.19999999999999996,-0.2,-0.20000000000000007,-1.4,-1.1499999999999986,-15.32,-14.6,21.89,-1.5,-0.5,-0.5,0.7,0.7,-0.6,0.7,-1.8,-12.899999999999977,-71.2,-136.9,56.4,0.40000000000000036,-1.7,-3.0999999999999996,1.9000000000000001
