Matchup,Spread,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
Detroit (-3.5) vs Green Bay,3.5,1,0.09090909090909094,1,-7,-8,-1,7.609999999999999,4.89,20.85,-2.53,1,0.3,2,-0.6,3,-6.7,-3,-2.7,0.5999999999999999,-0.09999999999999998,-0.4,-0.7,-0.29999999999999993,-0.30000000000000004,-1.3,-0.2,0.29999999999999993,0.30000000000000004,0.29999999999999993,0.5,0.20000000000000107,-1.5,1.1999999999999997,-0.4,1,0,1,-0.6,0.4000000000000057,20.4,47.4,13.100000000000001,-0.6000000000000001,1,1.4,-0.39999999999999997,-0.6099999999999999,0.8600000000000001,-0.6099999999999999,1.03,2.1999999999999993,-4.1,1.2,-2,6.900000000000006,-67.4,69.9,-16.099999999999998,5.399999999999999,1.6999999999999997,12.4,-3.1999999999999997,-0.19999999999999973,0.8,1.8,0.7,1.3999999999999986,-4.2,-6.6,0.7999999999999999,-0.2999999999999998,0.7000000000000001,0.7000000000000001,0.2,7.469999999999999,-2.43,17.21,-9.48,0.8999999999999999,0.6,1.9,-0.4,-0.10000000000000009,0.8999999999999999,1.9,0.30000000000000004,12.800000000000011,-107.5,-4.200000000000001,-21.6,0.29999999999999893,1.5,3.6,1.5
Miami (-5.5) vs NY Jets,5.5,1,0.09090909090909094,2,-3,-3,-2,7.220000000000006,-6.720000000000001,-19.36,-2.1199999999999997,0,-1.4,1,-1,2.3000000000000007,-6,-1.7,-0.7,0.7999999999999998,0.7999999999999999,-1.2000000000000002,0,0,0.30000000000000004,1,0.5,0.39999999999999997,-0.30000000000000004,0.39999999999999997,0.2,2.3,-0.09999999999999998,0.30000000000000027,-1.7000000000000002,0.7000000000000002,-1,0.7,-0.8,-43.599999999999994,-9.899999999999999,-53.599999999999994,7.8999999999999995,-0.5,1.2,2.5,-0.3,-0.6300000000000001,0.33999999999999997,1.93,0.74,1.1999999999999993,-8.1,-6.8,-0.7,13.800000000000011,-138.2,-153.2,-21.8,0.5,-9.8,4.5,-5.1,-1,0,0,0.4,6.199999999999999,4.2,13.2,-1.6,0.09999999999999998,0.1,2.1,0,1.0399999999999991,-2.61,10.93,-7.460000000000001,-0.2999999999999998,-1.6,0.7,-0.6,0.09999999999999998,-0.2,1.1,-0.6000000000000001,36.89999999999998,-90.8,-80.1,-27.6,0.8999999999999995,-2.1,-2.3,-0.2
Minnesota (-5.5) vs Atlanta,5.5,1,0.18181818181818177,1,6,12,1,0.710000000000008,-2.56,-5.49,-4.5200000000000005,0.5,-0.8,-0.5,-0.1,0.3000000000000007,-0.7000000000000001,5.300000000000001,1.2999999999999998,-1.2,0.8,1.8,-0.19999999999999998,0.20000000000000018,1.2,3.2,-0.6000000000000001,0.9,-0.09999999999999998,-1.1,0.7,1.5000000000000009,-1.8,-2.5,0.29999999999999993,0.7999999999999998,-1.5,-1.2,0.6,24.299999999999997,11.999999999999998,6.300000000000004,13.1,0,0.30000000000000004,1,-0.4,-0.43999999999999995,5.12,9.82,-1.89,-0.29999999999999893,-1.3,-0.29999999999999993,-1.5,-11.200000000000017,-35.2,17.8,-2.8,3.400000000000002,-9.9,-6.6000000000000005,0.19999999999999996,0.5,0.10000000000000003,0.4999999999999999,0.5,0.5999999999999979,5.6,22.6,6.199999999999999,1.1,0.09999999999999998,0.1,0.5,2.8299999999999983,-2.1899999999999995,11.760000000000002,-2.48,0.40000000000000036,-1.3,-0.6000000000000001,0,0.9,-1.0999999999999999,-3.1,1.1,-16,-15.7,60.99999999999999,13.600000000000001,0.7000000000000011,-0.7999999999999999,-0.6000000000000001,0.09999999999999998
New Orleans (-4.5) @ NY Giants,4.5,0,0.09090909090909088,-2,-2,-6,-1,0.9199999999999946,-2.8499999999999996,1.69,2.29,1.2000000000000002,0.6,3.2,-0.3,-0.29999999999999716,1.7000000000000002,-2.3,-3.2,-0.19999999999999996,-0.9,-2.2,0.9,-0.2999999999999998,1,1.7000000000000002,-0.10000000000000003,0.9,0.6,0.9,0.1,1.4000000000000004,-0.20000000000000007,3.4000000000000004,0.19999999999999996,1.0999999999999996,-0.2,2.1,-0.6000000000000001,-18.599999999999994,19.8,84.4,12.1,-0.30000000000000004,1.7,1.7,0,-0.08999999999999986,1.78,3.04,-0.05,-0.8000000000000007,-0.5,-3.8,-1.5,30.700000000000017,-48.3,-22.300000000000004,-27.5,7.699999999999999,-0.6,13.7,-4.5,-0.39999999999999947,0.6,1.6,0.1,2.5,-1.2000000000000002,-7.5,-3.0999999999999996,0.5,0.9,0.5,0.19999999999999998,1.490000000000002,1.49,-6.840000000000001,0.8600000000000001,1,0,2,-0.8,0.8999999999999999,-0.09999999999999998,-1.1,0.4,46.599999999999966,-63.7,-33.400000000000006,-58.6,1.1999999999999993,-1.2000000000000002,1.8,-0.7
Philadelphia (-13.5) vs Carolina,13.5,1,0.3181818181818182,5,1,5,-1,6.210000000000001,0.9299999999999997,4.84,-2.4699999999999998,1.0000000000000002,-0.3,0,1.2,4.900000000000002,1.9,6.9,-1.4,0,0,-1,0,-0.4999999999999999,0.20000000000000007,0.5,0.8,0,1,2,-0.30000000000000004,0.7999999999999998,2.5,5.8,-0.7999999999999999,1.1999999999999993,0.9000000000000001,3.2,-0.5,-42.900000000000006,10.1,-141.9,53.3,0.9,-0.09999999999999998,-0.09999999999999987,1.1,-1.4,-1.4,-1.4,1.47,0.09999999999999964,2.4,7.1000000000000005,-1.9000000000000001,1.700000000000017,58.7,178.7,-39.3,8.599999999999998,2.9000000000000004,7.6000000000000005,1,-1.2000000000000002,0.2,-2.2,1,13.399999999999999,-1.2,1.4,-2.2,0.09999999999999987,1.1,2.1,0.30000000000000004,8.100000000000001,-4.42,12.27,-8.72,1.3000000000000003,0,0.30000000000000004,0.30000000000000004,0.6,0.9,1.6,-0.6000000000000001,85.39999999999998,32.099999999999994,200.4,-37.1,2.0999999999999996,1.1,2.4,-0.3
Pittsburgh (-6.5) vs Cleveland,6.5,1,0.27272727272727276,2,-4,3,2,4.349999999999994,-4.4,-13.35,2.67,1.0000000000000002,0.30000000000000004,-0.9999999999999998,0.2,1.4000000000000021,2.6999999999999997,1.4000000000000004,0.4,-1.3,0.4,0.7,-0.09999999999999998,-0.7,0.3,1.3,-0.7,0.8,0.7999999999999999,1.8,0.30000000000000004,5.499999999999999,-4.199999999999999,-2.5,0.09999999999999998,1.5,-0.5,-0.5000000000000002,-0.2,-75.19999999999999,17.5,168.8,-14,0.7,-0.3,-1.3,0.1,-1.41,-0.32000000000000006,1.1300000000000001,-0.93,-1.6000000000000014,2.4,4.399999999999999,0.4,-15.900000000000006,61.39999999999999,49.099999999999994,8.399999999999999,6.5,2.8,-5.5,1.1,-1.6999999999999997,1,3.3,-0.2,10.8,2.8,7.8,2.9,1.3,0,0.29999999999999993,0.5,9.919999999999998,4.279999999999999,12.849999999999998,-0.3799999999999999,0.2999999999999998,1,-0.7000000000000002,0.09999999999999998,2,-0.29999999999999993,-1,1.1,29.899999999999977,65.9,61.900000000000006,19.4,1.5,1.3,-0.7999999999999998,1
Tampa Bay (-6.5) vs Las Vegas,6.5,1,0.18181818181818182,2,-2,0,0,5.269999999999996,0.5699999999999998,6.2700000000000005,0.16,1.2999999999999998,0.3,1.3,0.19999999999999998,4.399999999999999,2.4000000000000004,-2.5999999999999996,0,-0.7,-0.3,-0.7,-0.8,-0.5999999999999999,-0.3,-1.6,0.30000000000000004,0,0,0,0.4,0.7999999999999998,-0.19999999999999996,-8.2,1.7000000000000002,1.4000000000000004,0.7999999999999999,0.4,0.6,-39.099999999999994,-96.80000000000001,-125.10000000000001,9.2,1.2,0.2,1.2,-0.4,0.03000000000000025,-0.5899999999999999,-5.85,1.31,0.40000000000000036,4.1,-0.6000000000000001,-1.0999999999999999,12.5,105.1,121.5,-13.599999999999998,9.299999999999997,2.3000000000000003,0.2999999999999998,2,-0.5,-2.1,-2.5,0.19999999999999998,5.699999999999999,-8,-8.3,2.8,0.7999999999999999,-0.2,-0.2,0.4,13,15.36,21.33,-2.6,1.4999999999999998,0.5,1.5,0.19999999999999998,1.4,0.1,1.4,0,71.5,78.19999999999999,60.5,18.5,0.8000000000000007,1.1,3.4,0.7
Tennessee (-3.5) vs Jacksonville,3.5,1,0.045454545454545414,4,-1,12,1,1.4299999999999997,3.58,9.92,-3.36,0.19999999999999996,-1.2,-0.8,-0.2,0.8000000000000007,-0.19999999999999973,7.800000000000001,-0.30000000000000004,-0.5,-0.5,0.5,0.7,0.5,0.19999999999999998,-0.5,0.19999999999999998,0.09999999999999998,0.09999999999999998,-0.9,-0.4,0.7999999999999998,-3.6,-0.2,0.29999999999999993,-0.10000000000000053,-2.0999999999999996,-0.09999999999999998,0,-0.8000000000000114,12.8,-11.8,6.6000000000000005,0.6,-0.4,-0.4,0.2,0.8599999999999999,3.01,3.24,-0.75,-0.8999999999999986,-0.8999999999999999,3.0999999999999996,-1,-10.5,-82.5,55.49999999999999,-42,-0.6000000000000014,-10.9,0.4,0.9000000000000001,0.9000000000000004,0.8999999999999999,0.9,0.2,3.3999999999999986,2.4,17.4,1.4,0.10000000000000009,-0.2,-0.8999999999999999,-0.5,1.6799999999999997,-1.5799999999999998,-6.66,-5.5,-0.20000000000000018,-1.2000000000000002,-0.2,0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.6,-0.39999999999997726,-74.4,127.6,-31.1,-0.09999999999999964,-2.9,0.8,-1.3
Arizona (-2.5) vs Seattle,2.5,1,-0.045454545454545414,0,-1,-4,0,-0.1599999999999966,-1.52,-4.53,0.07999999999999985,-0.2999999999999998,-0.3,0.7,-0.5,-0.1999999999999993,-5.6,-9.2,0.9999999999999999,-0.5,-0.2,0.5,0,-0.40000000000000013,-0.09999999999999998,-0.4,-0.39999999999999997,-0.30000000000000004,0.4,0.7,0.2,1.5,-1.5,-6.5,2.7,-0.2999999999999998,0,-0.29999999999999993,0.6,-39.69999999999999,-32.699999999999996,39.3,-44.2,0,-0.6,0,-0.2,-1.07,-1.77,-5.51,-1.39,-2.5,-7.1,-8.5,0.6000000000000001,-44.400000000000006,-101,-121.4,30.1,-0.5,0.5,3.5,1.7000000000000002,-1.1,-0.5,0.9000000000000001,-0.9,4.800000000000001,2.8,-3.2,-4,0,0.30000000000000004,1,0.2,3.930000000000007,5.8,-3.76,4.49,-0.40000000000000036,0.19999999999999996,1.6,-0.2,0.4,0.4,1.4,0.6,8.300000000000011,-84,-138.7,3.1999999999999993,-0.20000000000000018,-0.7,0.6,-1
Buffalo (-3.5) @ LA Rams,3.5,0,0.18181818181818177,2,-6,-4,2,-1.1299999999999955,-3.08,-20.58,6.45,1.2000000000000002,0.5,-0.8,0.5,-0.09999999999999787,-0.5,1.9000000000000001,1.9000000000000001,-0.30000000000000004,-0.29999999999999993,0.7,0.30000000000000004,-0.4,-1.1,-0.4,0.1,0.30000000000000004,-1.1,0.30000000000000004,-0.4,1.9000000000000004,-2.8,-0.10000000000000009,0.19999999999999996,1.2000000000000002,-0.2,-0.8,0.7000000000000001,-8,13,-7,-42.2,0.6000000000000001,-0.4,-2.4,-0.1,-0.32000000000000006,-3.48,-0.32000000000000006,-0.12,-1.3999999999999986,0,0.5999999999999996,2.1,-10.900000000000006,-22.5,3.1000000000000085,9.299999999999999,8.400000000000002,-0.30000000000000004,-5.6000000000000005,6,-0.5,0.5,-0.5,-1,4.100000000000001,-5.5,-4.8999999999999995,-0.10000000000000003,0.7,-1.6,-2.3,-0.2,10.079999999999998,-19.58,4.52,4.27,1.1,0.4,-0.8999999999999999,1,1.0999999999999999,-0.6,-1.9000000000000001,-0.2,16.5,-29.799999999999997,-33.5,8.100000000000001,0.20000000000000018,1.2,-0.6000000000000001,0.09999999999999998
