Matchup,Spread,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
LA Chargers (-2.5) vs Denver,2.5,1,-0.04166666666666663,0,3,5,2,0.4399999999999977,-10.469999999999999,-3.66,1.8,-0.7,1.7,1.3,-1.1,-0.5,1.7999999999999998,-1.5,-0.8,-0.29999999999999993,-1.6,-2.3,-0.1,-0.7000000000000001,0,0.30000000000000004,-0.09999999999999998,0,0.30000000000000004,1,0,-0.3000000000000007,5.1,1.7,1,-0.3000000000000007,2.7,1.7000000000000002,-0.30000000000000004,-1.6999999999999886,68.6,98.3,-25.8,-0.5000000000000001,0.5,1.5,0.1,-1.8399999999999999,1.5699999999999998,4.3100000000000005,-1.04,0,1,-5,-1.1,-6.299999999999983,53.1,-59.300000000000004,-30.9,-3,13.7,11,-5.4,0,1.3,3,-0.4,-0.5,7.199999999999999,15.5,2.2,-0.20000000000000018,1.1,2.8,0.10000000000000003,-0.6200000000000045,9.379999999999999,34.67,6.6899999999999995,-0.5,1.5,1.5,-1.2,0.4,1.1,2.4000000000000004,0.1,-9,70,-22,-22,1,0.9,-1,-0.6000000000000001
Kansas City (-3.5) vs Houston,3.5,1,0.16666666666666663,0,-1,-5,1,3.6000000000000014,10.4,20.33,-4.07,0.09999999999999964,0.7,-0.8999999999999999,0.5,2.799999999999997,-1.1999999999999997,-3.1999999999999997,0.8999999999999999,-0.09999999999999998,0.3,-0.1,0.6,-0.10000000000000009,0.9,0.9,-0.30000000000000004,-0.7,-0.3,-1.6999999999999997,0.19999999999999996,-0.8000000000000007,-1.2,4.2,-2.5,-0.2999999999999998,0.4,-0.30000000000000004,-0.19999999999999998,-57.29999999999998,-93.60000000000001,-196.29999999999998,-23.9,-0.09999999999999987,-0.09999999999999998,-1.1,0.4,0.27000000000000024,2.42,0.27000000000000024,0.49,1.299999999999999,-1.3000000000000003,-2.7,-1.1,11.299999999999983,-23.700000000000003,-63.699999999999996,-47.9,0.10000000000000142,3.6999999999999997,-0.8999999999999999,0.8999999999999999,-0.9999999999999996,-2.3,-5,-0.39999999999999997,1.3999999999999986,-3.1999999999999997,-13.6,3.5,-0.8999999999999999,-0.5,-2.9000000000000004,0.2,13.589999999999996,2.0200000000000005,13.16,2.88,0.10000000000000009,0.7000000000000001,-0.9,0.6000000000000001,-0.8,-1.4000000000000001,-3.8000000000000003,0.5,12.100000000000023,-44.9,-117.89999999999999,-1.2000000000000002,-0.39999999999999947,0.6,0.10000000000000009,-0.9
Baltimore (-6.5) vs Pittsburgh,6.5,1,-0.04166666666666663,-1,-5,-9,-1,3.0700000000000074,-1.7799999999999998,-17.29,-2.44,1.2999999999999998,1.3,-2.7,0.2,4.5,-0.5,-10.5,-0.2,-0.09999999999999998,-1.8,-0.09999999999999998,0.5,-0.20000000000000007,0.5,-0.19999999999999998,0.2,-0.5000000000000001,0.19999999999999998,-1.5,0.09999999999999998,-2.9000000000000004,1.0999999999999999,-0.8999999999999999,-1.5,0.39999999999999947,0.7,-1.5999999999999999,-0.5,-28.5,3.5,65.5,-25.700000000000003,-0.9,0.1,1.1,-0.4,-0.27,0.89,-0.27,-0.56,2.8000000000000007,2.5,-5.199999999999999,-0.9,46.69999999999999,48.7,-121.30000000000001,-0.2999999999999998,5.899999999999999,5.9,-16.1,-0.7,-0.7999999999999998,0.2,2.2,-0.5,-1.1999999999999993,-8.5,-15.2,0.09999999999999998,-1.2000000000000002,1.2,-0.2,0.2,9.779999999999994,-6.93,-42.040000000000006,3.8200000000000003,1.4000000000000004,0.7,-2.6,0.1,-1.2,0.5,-0.19999999999999998,-0.1,98.5,13.200000000000001,-183.5,12.6,1.200000000000001,0.8,-4.6,-0.10000000000000003
Cincinnati (-8.5) vs Cleveland,8.5,1,0.125,-1,-1,-1,0,7.509999999999998,-6.95,-3.94,-2.79,1.9000000000000001,-0.09999999999999998,-1.1,-0.1,3.299999999999997,0.6000000000000001,-4.7,-0.8,-1.4,0.6000000000000001,-0.3999999999999999,0.30000000000000004,-0.5999999999999999,0.7000000000000002,1.3999999999999995,-1,0.6000000000000001,-0.7000000000000001,-3.4,1,2.6000000000000005,-2.4000000000000004,-3.4,1.4,1.8000000000000007,-1.2000000000000002,-3.2,0.1,-89.6,87.1,140.4,26.4,-0.09999999999999998,-1.1,-2.1,-0.19999999999999998,-1.7799999999999998,1.6300000000000001,4.57,-1.33,3.3000000000000007,2.7,0.2999999999999998,-0.5000000000000001,53.89999999999998,16.6,-88.1,21.5,11.399999999999999,-4.9,-18.6,-0.5,-2.2,1.5,2.8000000000000003,0.8,-0.7999999999999972,2.2,-5.8,2.3,0.5999999999999999,-1.4000000000000001,-5.3999999999999995,1,18.89,-5.08,-24.700000000000003,-12.98,1.6,-0.4,-2.4,-0.2,1.2000000000000002,-2.1,-6.800000000000001,2,52.89999999999998,32.900000000000006,-51.1,24.9,1.2999999999999998,-0.09999999999999998,-1.2,0.4
Atlanta (-9.5) vs NY Giants,9.5,1,0.20833333333333337,-1,-5,-3,2,5.670000000000002,-2.46,0.41999999999999993,2.06,0.8999999999999999,1.2,1.9,0.4,1.5,-2.2,6.5,1.8,-0.30000000000000027,0.7000000000000001,4.699999999999999,-1.4,0.10000000000000009,-1.3,0.09999999999999998,-0.09999999999999998,0.5,0.1,-1.5,0.19999999999999998,1.9000000000000004,-0.8,-3.0999999999999996,1.7,0.9000000000000004,0.3,-0.09999999999999998,1.3,-71.2,24.2,-200.2,-19,-0.2999999999999998,0.4,-0.30000000000000004,-0.1,1.4900000000000002,-3.5,-1.6900000000000002,-0.99,1.5,-0.5000000000000001,3.5000000000000004,-0.09999999999999998,53.80000000000001,7.1,141.8,5.4,5.999999999999998,4.699999999999999,5,6.1,-1.7000000000000002,0.6,-4.7,-0.2,2.900000000000002,-11.1,-14.1,5.300000000000001,0.19999999999999996,-0.4,-1.8,0.3,2.1500000000000057,-9.59,-11.95,5.53,0.6000000000000001,1,1.6,0.6,0.09999999999999998,0.7000000000000001,-1.9,0.4,66.70000000000005,-33,41.699999999999996,60.599999999999994,2,-0.39999999999999997,0.6000000000000001,1
Arizona (-4.5) @ Carolina,4.5,0,0.16666666666666669,2,-2,-6,1,7.369999999999997,-3.8,-2.9000000000000004,2.5199999999999996,0.3999999999999999,0.4,-0.6,0.9,3.599999999999998,-0.40000000000000013,-1.4,2,-0.9999999999999999,0.30000000000000004,0,-0.3,-0.5,0.2,3.5,-0.4,0,0.4,-1,-0.1,2.0999999999999996,-2.9000000000000004,-7.9,-0.19999999999999996,0.6000000000000005,-0.4,-3.4000000000000004,0.30000000000000004,-47.70000000000002,14.300000000000004,66.3,-12.5,0.3999999999999999,0.09999999999999998,-0.6000000000000001,-0.1,-1.4099999999999997,-2.1100000000000003,5.73,-0.39,1.1999999999999993,-0.10000000000000009,-0.8,-0.7000000000000001,23.900000000000006,0.1999999999999993,-33.1,-3.9000000000000004,4.799999999999997,-0.8,-11.2,3.7,-1.1999999999999997,0.20000000000000007,0.8,-0.19999999999999998,3.8999999999999986,-1.0999999999999999,-12.1,1.4,0,0.3,0,-0.2,8.290000000000006,-2,-31.11,3.0700000000000003,0.3999999999999999,0.4,-0.6,0.7,0.5,0.19999999999999996,-3.5,0.30000000000000004,62.5,-21.9,-97.5,18.2,1.1000000000000005,1.2,1.5999999999999999,0.6
Detroit (-6.5) @ Chicago,6.5,0,0.3333333333333333,1,-4,4,-1,9.489999999999995,1.5799999999999998,4.46,1.31,2.5,-0.5,-3.5,0.7999999999999999,6.100000000000001,-5.5,-7.9,2,-0.40000000000000013,-1.7,-0.3999999999999999,0.6,0.09999999999999998,-0.2,0.1,-0.8,0.19999999999999996,0.9,1.2,-0.09999999999999998,3.1000000000000005,-2.9,3.0999999999999996,1.9,2,-0.6,-1,1,-57.19999999999999,31.799999999999997,-73.19999999999999,-12.500000000000002,-0.09999999999999987,0.30000000000000004,-0.09999999999999987,0.09999999999999998,1.14,0.3899999999999999,1.14,-2.54,4.1,-5.2,-14.9,1.1,78.20000000000002,-80.4,-223.8,32,13.799999999999997,-4.2,-16.2,7.3,-1.7000000000000002,0.29999999999999993,-1.7,0,5.199999999999999,-0.40000000000000036,19.2,-1.1,-0.10000000000000009,0.6000000000000001,0.8999999999999999,0,13.54,3.1100000000000003,-24.28,-3.1,1.8999999999999995,-0.1,-3.0999999999999996,0.8999999999999999,-0.19999999999999996,0.7999999999999999,0.8,0.8,115.69999999999999,-74.30000000000001,-121.3,34.9,2.2,1,-0.1,-0.2
Indianapolis (-3.5) vs Tennessee,3.5,1,0.125,-4,-3,-4,2,-8.379999999999995,8.86,23.200000000000003,-1.7600000000000002,0.09999999999999987,0.4,2.1,0,-0.5,1.2,6.5,0.8999999999999999,0.3999999999999999,-1,-3.5999999999999996,0.5,-0.30000000000000004,0.09999999999999998,0.6999999999999997,0.5,0.20000000000000007,0.6,-0.8,-0.09999999999999998,0.7000000000000002,0,-3.3,1.6,0.7000000000000002,0.7000000000000001,0.7000000000000001,0.8,9.400000000000006,-37.6,-100.6,-8.000000000000002,0.30000000000000004,0.3,2.3,0.1,-0.10000000000000009,-0.8,5.17,-0.71,-0.40000000000000036,2.9,4.6,0.6000000000000001,-0.19999999999998863,68.2,129.8,-5.9,1.8999999999999986,4.5,15.9,2.4,-0.2999999999999998,-1.9000000000000001,-4.3,0.2,1,-6.300000000000001,-5,-0.09999999999999998,0.3999999999999999,1.4,1.4,-0.4,-0.7700000000000031,17.65,35.06,-8.209999999999999,0.20000000000000018,0.9,3.2,0,0.6000000000000001,1.2999999999999998,0.5999999999999999,-1,10.399999999999977,30.4,74.4,-3.5,0.09999999999999964,1.4,3.4,-1.1
LA Rams (-3.5) @ NY Jets,3.5,0,0.16666666666666669,1,-4,-9,2,3.469999999999999,-2.7,-2.459999999999999,4.720000000000001,0.30000000000000004,-0.39999999999999997,3.3,0.6000000000000001,2.6999999999999993,2.1,10.7,0.7999999999999999,0.3999999999999999,1.1,0.4,0.1,0,0.7,0,0.1,0.5,0.9,1.5,-0.4,1,0.2999999999999998,-5,-0.29999999999999993,0.5,0.7999999999999999,1.5,-0.19999999999999998,-14.199999999999989,-57.5,-175.2,2,-0.29999999999999993,1,0.7,0.4,-0.1100000000000001,0.82,-0.1100000000000001,-0.49000000000000005,-0.1999999999999993,3.1,3.8,0.19999999999999996,14.799999999999983,53.8,129.8,-8.5,1.9000000000000021,2.4999999999999996,21.9,2.9,-0.20000000000000018,-0.9,-3.2,0,5.5,-9.1,-9.5,2.4,0.20000000000000007,1.2000000000000002,1.2000000000000002,0.1,-3.4000000000000057,-14.98,9.930000000000001,3.97,0.20000000000000018,0.19999999999999996,4.2,0.5,0.4,0.8,1.4000000000000001,0.19999999999999998,30.899999999999977,23.9,128.9,3.3,0.8000000000000007,0.09999999999999998,4.5,-0.2
Philadelphia (-3.5) @ Washington,3.5,0,0.125,1,6,2,2,-1.75,4.57,0.7699999999999996,-2.9800000000000004,0,0,-1,-0.8999999999999999,-0.7000000000000028,2.7,-3.6999999999999997,0.4,0.3999999999999999,0.4,0.4,-0.5,0.30000000000000004,0.8999999999999999,-1.7000000000000002,0.2,0.19999999999999996,0.19999999999999998,1.2,0.1,-2.5,-1.5000000000000002,-3.5,1.5,-0.5999999999999996,0.4,-1.6,0.5,17.200000000000017,0.20000000000000284,120.2,-4.899999999999999,0.5,0.8,-1.5,-0.29999999999999993,-0.040000000000000036,2.99,-0.040000000000000036,-0.24,-1.1999999999999993,0.4,-5.199999999999999,0.6000000000000001,-31.400000000000006,30.9,-112.4,19.5,-1.9000000000000021,3.1,-8.9,-0.30000000000000004,0.30000000000000027,-0.09999999999999998,2.3000000000000003,0,4.799999999999997,4.5,-2.2,2.3,0.10000000000000009,0.7,0.1,0.2,-0.14999999999999858,-0.20999999999999996,-6.029999999999999,5.8,0,0.7,-1,-0.4,-0.2,-0.2,1.7999999999999998,0.1,-0.6999999999999886,84.6,-75.7,46.1,0.20000000000000018,0.10000000000000009,-1.6,-0.2
