Spread,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average,Target
4,-0.07692307692307693,1,0,0,0,7.979999999999997,2.63,3.28,-4.4399999999999995,-0.5,0.2,-3.5,-0.7,10.7,-1.9,-3.3,-2.6,-0.3,-0.3,-0.3,-0.3,-1.9999999999999998,-0.7,2,0.30000000000000004,0.5,-0.2,-3.5,-1,6.2,-0.09999999999999998,0.19999999999999996,0,2,0,-2,-0.2,-32.5,51.2,43.5,63.7,-0.7,0,-0.7,0.6,-4.949999999999999,-1.46,5.3100000000000005,1.9500000000000002,4,-1.6,6,-0.20000000000000007,64.5,-10.5,71.5,30.2,4.699999999999999,0.4,-19.3,-2.5,-0.7000000000000002,1,1.3,1.6,3.4999999999999964,1.8,-9.5,-1.3,0.7999999999999998,0.09999999999999998,-3.2,0.3,-4.490000000000002,-2.05,12.48,-1.08,-0.20000000000000018,0.1,-3.2,-0.4,2.8,0.8,-5.2,0,50.5,-16.8,-91.49999999999999,3.6999999999999993,0.5999999999999996,0.4,0.20000000000000018,1.2999999999999998,1
2.5,0.07692307692307693,2,-1,-5,-1,10.659999999999997,-0.050000000000000044,-10.46,-4.34,0.5,-0.8,-1.5,0.5,-5.800000000000001,-0.4,0.2,0.7,-0.2,0.2,-0.2,-0.2,-2.3,-0.3,2.7,1.7,0.8,-0.2,-1.2,-0.2,2,2.7,-9,-8.5,1,0.3,-3,-2,6,31.700000000000003,1,-47,1,0.7,-1,-1.5,-1.1799999999999997,-1.5699999999999998,1.61,3.6999999999999997,-3.5,0.5,2.5,0.5,-34.19999999999999,6.5,10.8,-4.2,3,-1.7,-14,-4.5,-0.2999999999999998,0.7,-1.3,-1.8,-3.5,-3.2,-15.5,-3,1.7999999999999998,-0.2,-3.2,-1.2,-3.1499999999999986,-10.049999999999999,11.849999999999998,22.54,0.20000000000000018,-0.8,-0.8,0.7,4.1,0.1,-5.9,-2.9000000000000004,-106.69999999999999,-9.399999999999999,-50.7,-11.200000000000003,0.5,-0.4,-2.6,-0.6000000000000001,1
2.5,0.07692307692307693,2,1,3,1,-1.8999999999999986,-5.140000000000001,-15.059999999999999,3.93,0.5,-0.5,0.5,1,1.8000000000000007,0.7999999999999999,-2.2,2.3,1,0,2,1,-0.19999999999999996,0.8,-2.2,-0.7,-1.2,-0.19999999999999998,0.8,-0.2,-3.3000000000000007,0.7,2.7,0.19999999999999996,-1,0,0,0.49999999999999994,21.69999999999999,-20.6,18.7,19.2,2,0,2,1,0.8300000000000001,0.24,-7.94,-2.92,-3.7,0.8999999999999999,1.3,1.8,-65.69999999999999,10.6,5.300000000000001,50.8,-2.3000000000000007,-1.6,3.7,8.2,0,-0.4,0,-0.5,9.999999999999996,-1,3,3.5,-0.7,0,1.3,-0.2,-10,3,6.24,10,0.30000000000000004,-0.4,0.30000000000000004,1.3,-0.5,-0.8,3.5,0.5,-5.5,3.1000000000000014,-38.5,77,-1.0999999999999996,-1,-0.3,1.7000000000000002,0
4,0,5,-1,-8,0,17.060000000000002,-2.4600000000000004,9.18,7.4799999999999995,0.5,-1.2,-3.5,0.7999999999999999,6,-1.7,-11,-1.3,0,0,-1,-0.3,-1,0,3,0.5,-0.19999999999999996,-0.6,-1.2,0.6,2.7,-1,-7.3,-1,1,-1.3,-4,0.7,-52.19999999999999,50.8,17.8,-59.2,1,-0.3,0,-0.19999999999999996,-2.22,-0.42000000000000004,1.11,0.08999999999999997,1.8000000000000007,-1.2,-0.20000000000000018,0.5,-18.19999999999999,-18.8,-52.2,-7.2,5.699999999999999,-8,-28.3,4,-1.7000000000000002,1.7,2.3,-0.7,4,-2.6,-23,-1.5,0.5,-1.1,-3.5,0.2,-5.960000000000001,-13.75,-23.91,6.220000000000001,0.5,-1.2,-3.5,0.7999999999999999,1.5,-1.2,-6.5,-0.3,62.30000000000001,-22.999999999999996,-171.7,-18.5,0.5,-0.5,-2.3000000000000003,0.4,1
1.5,0.1428571428571428,2,-2,-7,0,1.1000000000000014,-11.28,-21.57,2.73,0.6000000000000001,-0.4,2.6,1.3,2.6000000000000014,-2.7,-5.4,1.3,0.6,-0.39999999999999997,-1.4,-0.1,0,0.30000000000000004,0,0.19999999999999998,-0.6000000000000001,-0.3,-1.6,-0.3,-2.3999999999999995,-0.3999999999999999,-0.40000000000000036,1.8,-0.7999999999999998,-0.5,1.2000000000000002,1,73.80000000000001,-12.899999999999999,111.8,12,1.2,-0.19999999999999998,2.2,1.5,-1.7799999999999998,1.18,2.9800000000000004,1.6700000000000002,2.5999999999999996,-3.4,-4.4,3.9000000000000004,26.400000000000006,-58.900000000000006,-79.6,52.2,-0.3999999999999986,-4.4,13.600000000000001,10.4,1.5999999999999996,0,1.6,-0.19999999999999998,-2,1.3,13,1.7,0.40000000000000013,-0.6,0.3999999999999999,1.0999999999999999,-3.509999999999998,-7.510000000000001,-11.780000000000001,4.1899999999999995,0.3999999999999999,-0.6,2.4,1.4,0.4,-1,0.4,0.9,-4.199999999999989,-65.2,-44.2,59,-0.5999999999999996,-1.5,0.3,1.5,0
6.5,0.04120879120879123,-1,2,10,2,14.54,1.09,8.4,5.050000000000001,0.20000000000000018,-0.4,-1.8,0.39999999999999997,0.10000000000000142,-1.5,7.1,1.3,-0.20000000000000007,-0.2,0.8,0.09999999999999998,-0.6000000000000001,-0.9000000000000001,-0.6000000000000001,-0.40000000000000013,0.5,0.49999999999999994,0.5,0.3,-2.0999999999999996,2.3,4.9,2.0999999999999996,-0.7000000000000002,0.30000000000000004,1.2999999999999998,0.5,-1.4000000000000057,8.6,-100.39999999999999,-59.6,-0.6,0.4,-1.6,0.19999999999999998,-0.6999999999999997,-0.97,-2.01,-0.5900000000000001,-0.10000000000000142,-1.1,3.9000000000000004,2.1,-45.5,1.7999999999999998,92.5,43,-0.40000000000000213,0.6,2.6000000000000005,3.4,-0.09999999999999964,0.2,-2.1,-1.3,-3.6000000000000014,2.8000000000000003,2.4,3.6,0.19999999999999996,0.6,0.2,0.4,-1.8599999999999994,1.9200000000000002,7.37,4.3,0.2999999999999998,-0.4,-0.7,0.09999999999999998,0.8,1.5,0.8,0.8,-45.80000000000001,-1.1000000000000014,62.2,35.2,0.20000000000000018,0.1,-0.5,0.5,0
6,0.14285714285714285,-3,-1,6,2,2.299999999999997,-0.09,18.86,12.45,1,0,1,1.7000000000000002,-1.8000000000000007,-0.1,2.2,4.199999999999999,0.6,0.6,0.6,-0.4,-2.5999999999999996,0.4,-0.6000000000000001,-0.30000000000000004,0.6,0.6000000000000001,-0.4,-0.7000000000000001,1.5999999999999996,3.6,-1.4000000000000001,-3.7,1.2000000000000002,1.2000000000000002,0.19999999999999996,0.20000000000000007,-11.600000000000023,23.4,15.400000000000006,-62.3,0.8,0.1,-1.2,-0.39999999999999997,-2.9099999999999997,0.24,5.15,1.7999999999999998,0,-1.4,-2,2.8,59.599999999999994,-36.8,18.60000000000001,69.80000000000001,7.199999999999999,3.9,4.199999999999999,7.9,0,-0.3,0,-1.7000000000000002,-10.8,2.8,16.2,2,1.5999999999999999,0.9,-0.40000000000000013,-1.4000000000000001,-13.149999999999999,-6.9799999999999995,5.7299999999999995,12.7,0.9999999999999998,0,0.9999999999999998,2,4.2,0.5,0.19999999999999996,-1.1,-3.599999999999966,-17.599999999999998,36.39999999999999,44.9,1.4000000000000004,-0.8999999999999999,1.8,2.1999999999999997,0
3,0.1428571428571428,1,-4,-14,-5,0.10000000000000853,-0.65,-2.7800000000000002,-8.56,-0.19999999999999973,-0.2,-1.2,-0.5,2,-0.3999999999999999,-14,-1.2,-0.4,-0.1,-0.4,-0.4,0,-0.3,0,0.49999999999999994,0.6000000000000001,0.3,-0.4,-0.4,1.5999999999999996,0.6000000000000001,0.6000000000000001,-0.7000000000000001,0.6000000000000005,-0.10000000000000009,-0.40000000000000013,-0.7000000000000001,-24.599999999999994,11.100000000000001,-3.6000000000000014,74.1,0.19999999999999996,-0.8,1.2,0.2,-0.5199999999999998,-0.64,5.89,1.2999999999999998,6.4,-0.29999999999999993,-8.6,-2.8,45.80000000000001,-31.6,-105.19999999999999,-75,1.6000000000000014,-1.4,-5.4,-4.7,-1.2000000000000002,-0.19999999999999996,-1.2,1.2999999999999998,-6.800000000000001,-2.4,-13.8,-5,0.5999999999999996,0,0.6000000000000001,-0.4,25.15,-7.26,-16.68,-10.8,0,-0.30000000000000004,-0.9999999999999999,-0.7,0.6000000000000001,0.30000000000000004,0.6000000000000001,-0.9,-24.200000000000045,-44.2,-129.2,-69.4,-1,-0.5,0.8,-1.2,1
6.5,0.14285714285714285,6,-1,-6,-2,2.280000000000001,-2.5999999999999996,-5.17,0.18000000000000002,2.8,-0.19999999999999998,-2.2,0.2,5.6,-1.7000000000000002,-10.399999999999999,-0.7000000000000002,0.20000000000000007,-0.19999999999999998,-0.8,-0.5,0.20000000000000018,0.8999999999999999,2.2,0.19999999999999996,2,0,1,0,4,-1,-4,-1.6,2.4000000000000004,-0.8999999999999999,-3.6,-1.2999999999999998,-112.6,29.799999999999997,65.4,34,0.5999999999999999,0.30000000000000004,-0.4,-0.09999999999999998,2.4600000000000004,3.7399999999999998,5.96,0.30999999999999983,5.4,-1.6,-5.6,-0.19999999999999998,78.4,-23.3,-79.60000000000001,-22.900000000000002,16.8,-4.2,-21.2,-4.8,-2,0.7,1,1,7.199999999999999,-2.2,-8.8,-4.5,2.4,0.4,0.4,0.1,11.61,-7.5,-8.75,-17.18,2.2,-0.5,-2.8,-0.4,2.2,-0.4,-1.8,-0.09999999999999998,103.6,-30,-208.4,-66.7,2.3,-0.2,-0.8999999999999999,-0.8,1
9.5,0.1428571428571428,9,1,-2,-1,15.369999999999997,1.8599999999999994,9.120000000000001,6.890000000000001,1.1999999999999997,-1.2,1.2,0.9,4.400000000000002,0.40000000000000013,1.4,-3.6,-0.19999999999999996,0.5,1.7999999999999998,0.2,-1.4,0.29999999999999993,-0.4,-0.10000000000000003,0.3999999999999999,-0.19999999999999998,-0.6,1,3,-0.40000000000000013,-3,-0.29999999999999993,2,-1,0.9999999999999999,0.7,9.200000000000017,15.2,10.199999999999996,-36.8,1,0.30000000000000004,-1,0.7,-2.41,-0.07000000000000006,0.27,-0.06999999999999995,2,0.39999999999999997,2,0.7,27.400000000000006,-0.2999999999999998,35.4,-7.6,10.2,-7.2,4.199999999999999,4.9,0,1,0,-0.4,10.600000000000001,1.2999999999999998,-1.4,-3.0999999999999996,0.8000000000000003,-0.2,-0.2,1.2,7.019999999999996,-9.899999999999999,-4.41,0.3899999999999999,1.1999999999999997,-1.2,1.2,0.9,2.2,-0.5000000000000001,0.19999999999999996,1.2,87.40000000000003,-9.9,-4.6,-49.2,1.0999999999999996,-1,0.7999999999999999,0.4,0
