Spread,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average,Target
11.5,0.15384615384615385,2,0,-5,0,9.630000000000003,7.300000000000001,-3.1599999999999997,-0.5899999999999999,1.4999999999999998,0.8,0.5,-0.2,6,2.6,3,0.7999999999999998,1,0,1,0.5,-1.2999999999999998,-0.8999999999999999,-0.3,-0.5,-0.5,-0.8,-0.5,-0.2,1.5000000000000009,0.8,6.5,2.3,1.5,0.9,1.5,0.7,-82.30000000000001,-44,-20.299999999999997,-22.999999999999996,0.5,-0.49999999999999994,-0.5,-0.8,-2.3000000000000007,-2.3899999999999997,-2.55,-2.8899999999999997,1.5,2.1999999999999997,2.5,2,75,40.699999999999996,52,44.2,12,5.3,5,0.8000000000000003,-2.2,-0.8999999999999999,-2.2,-0.7,5.5,-1.5,-4.5,0.19999999999999996,0,-1,-1,-0.30000000000000004,7,3.5700000000000003,-6.33,2.8299999999999996,1.7,0.7,-0.30000000000000004,-0.3,1.3,-0.10000000000000003,-0.7,0.09999999999999998,112.5,35.8,31.5,53.5,2.1999999999999993,1.2999999999999998,0.7,0.29999999999999993,0
7,0.1538461538461538,5,0,6,0,5.43,-1.13,2.9299999999999997,6.48,0.5,0.8,1.5,0,2.5,0.8,-0.5,-2,-0.5,0.2,-0.5,-0.5,-1.7999999999999998,-0.2,-1.8,-0.8,1,0.30000000000000004,2,0,6.5,1.8,-1.5,0,2.8,1.1,0.8,0.3,0.30000000000001137,-44.1,42.3,-14.200000000000003,1.3,0,-1.7,-0.7,-3.1399999999999997,-1.01,-5.64,-1.01,4,-0.39999999999999997,0,1.5,15.699999999999989,-4.9,-84.3,7.2,11,6.3,9,1.5,-0.7000000000000002,-1.3,0.30000000000000004,-0.19999999999999996,-3.3000000000000007,4.4,12.7,-2.8,2.2,0.2,2.2,0.2,8.839999999999996,6.44,6.74,-1.049999999999999,0.7000000000000002,0.7,1.7,0.2,4,0.4,4,1,-8.5,27.8,-30.500000000000004,-6.5,-1.5999999999999996,0.7,-2.2,-0.39999999999999997,0
3.5,-0.07692307692307693,2,1,1,1,-1.6200000000000045,-1.62,1.0999999999999996,6.24,-0.2999999999999998,0.3,0.7,-0.3,5.699999999999999,0.7000000000000001,-2.3,-2.8,0.8,-0.2,-2.2,-0.2,0.5,0.5,-0.5,-1,-0.3,0,-0.3,-0.3,2,-2.4,3,2,1.2999999999999998,-0.3,2.3,1.3,-91,-5.300000000000001,12,-6.5,0,-0.3,1,-0.5,2.15,1.43,2.15,-0.88,6.5,0.8,-6.5,-4.5,123,-14.3,-63,-27,2.5,-0.5,9.5,2.5,-1.2999999999999998,-0.30000000000000004,-0.30000000000000004,-0.3,-6,-1.5999999999999999,2,2,-0.5,-0.2,0.5,0,-0.7100000000000009,5.87,-13.21,-3.67,0,0.3,1,0,-1.1,-0.8,0.8999999999999999,0.8999999999999999,90.5,-16.9,-23.5,-17.499999999999996,0.5999999999999996,-0.8,-1.4,-0.4,0
13,0.1538461538461538,11,-2,6,-1,3.559999999999995,-2.56,-4.91,-8.1,1.5,0.2,-1.5,-1,5.699999999999999,-0.9,6.7,1.2000000000000002,-0.30000000000000004,-0.7,-0.3,-0.3,-1.5,-0.2,1.5,0.5,1,0.6,-1,-1,2.2,0.9,-3.8,-4.8,2.3,0.30000000000000004,-1.7,-1.7,-3.5,-12.2,38.5,116.5,0.5,0.5,-1.5,-0.49999999999999994,-2.01,-0.060000000000000026,5.4,3.25,2,0,0,-3,-12,0.7000000000000002,-47,-69.5,11.2,1.9,-12.8,-10.8,0.7000000000000002,0,1.7000000000000002,2.2,18.5,0.10000000000000009,16.5,5,1.7999999999999998,0.8,-1.2,-1.2,13.249999999999996,-3.12,3.7199999999999998,-4.879999999999999,1.5,0.2,-1.5,-1,3.3,1,-2.7,-1.7,55.80000000000001,-0.8000000000000007,83.8,7.299999999999997,0.5,0.6,0.4,-1,1
4.5,0.1538461538461538,-1,2,4,-1,4.060000000000002,-1.4900000000000002,7.05,2.6899999999999995,0.20000000000000018,0.2,-1.8,-1.5,-3.5,2.1999999999999997,-1.5,-3.1999999999999997,-0.5,-0.8,-1.5,0.49999999999999994,-1,-0.3,1,1.7,-0.30000000000000004,0.4,-0.30000000000000004,-0.3,1.7999999999999998,0.7999999999999999,2.8,-0.4,-0.5,0.7999999999999999,1.5,-0.7000000000000001,83.5,-4.800000000000001,-139.5,-42.5,0.30000000000000004,0.6,2.3,0,-1.98,-1.2,-1.27,1.73,2,1.4,-1,-1.3,-40.80000000000001,18.2,84.19999999999999,30.200000000000003,1.3000000000000007,2.9,-1.7,-6.9,1.7000000000000002,0,-2.3,-1,-8,3,6,-7,1.2,0.2,-0.8,-0.8,-12.639999999999997,4.33,-0.13999999999999968,-13.58,0,0.3,-1,-1.2,2.3,0.7,-1.7,-2.4,-125.19999999999999,34.5,57.8,-28.4,-0.5999999999999996,0.2,3.1,0.8,0
1.5,-0.07692307692307693,-4,2,-1,4,-11.199999999999996,4.65,-14.330000000000002,-4.8,-2.5,0.49999999999999994,-0.5,-0.5,-5,2.3000000000000003,-2,2.6999999999999997,-0.7,0,-0.7,0.5,-0.8,-0.1,-0.8,-0.3,0.2,-0.2,0.19999999999999996,0,-2.5,1.5,2.5,3,-1.5,1.5,1.5,1.7,120,-37.699999999999996,21,-35.5,-0.5,0.2,-1.5,-0.3,-2.28,-0.27,-1.9899999999999998,-0.97,-4.5,2.2,-3.5,-0.7,-131.3,62.400000000000006,-30.299999999999997,45.2,-12.5,7.5,4.5,5,2.8,-0.8999999999999999,-0.2,-1,-4.300000000000001,3.4000000000000004,11.7,9.7,0,0.3,0,0,1.75,11.700000000000001,1.75,17.46,-1.7999999999999998,0.8999999999999999,0.2,0.2,0.8,0.5,0.8,0.3,-133.3,57.699999999999996,36.7,96.2,-3.4000000000000004,1.7999999999999998,-0.9999999999999999,0.8,0
6.5,0,4,-4,-11,-3,3.180000000000007,-1.56,-17.86,-8.48,1.4999999999999998,0.2,-2.5,-0.7000000000000001,5.5,-2.2,-8.5,-2.8,-0.19999999999999996,-0.5,-0.19999999999999996,0.1,1,-0.30000000000000004,0,0.5,0.5,0.2,0.5,-0.2,0.7000000000000002,-0.6,-6.3,-2.5,1.7000000000000002,0,-3.3,-1.5,-41,12,263,133.2,-0.30000000000000004,0.4,-0.3,-0.8,0.72,0.09999999999999998,0.72,1.94,-0.6999999999999993,-1,-5.7,-1.7,20,-18.7,-137,-1,11.7,1.7000000000000002,-19.3,-9.8,-1.7000000000000002,0.30000000000000004,5.3,3,10.5,-1.2000000000000002,-11.5,-3.1999999999999997,0,0.30000000000000004,1,-0.5,18.849999999999998,-0.5900000000000001,-35.32,-22.82,1.7999999999999998,0.5,-2.2,-1,-1,0.6,1,-1,68.19999999999999,-18.5,-197.8,-19.3,0.7999999999999998,0.5,-2,-0.10000000000000003,1
7.5,0.07692307692307693,4,1,5,5,12.469999999999999,3.54,1.67,5.36,-1,0,-2,-0.7,0.5,-1.2,-4.5,3.2,-0.19999999999999996,-0.19999999999999998,-0.2,-0.2,-0.19999999999999996,-0.5,-2.2,-0.9,0.5,-0.09999999999999998,1.5,-0.3,-1.7000000000000002,-0.7,3.3,1.6,-1.7999999999999998,-0.2,-0.8,-0.5,14.5,-3.1000000000000014,44.5,-53.5,-1.5,-0.2,-0.5,-0.8,-0.7100000000000002,-0.32,-3.1500000000000004,-1.31,-3,0.7,-1,2,-71.5,8.2,38.5,33.5,-6.199999999999999,-1.2,-7.2,-3.5,0.5,0.2,1.4999999999999998,-0.8,3.1999999999999993,0.19999999999999973,-2.8,3.9000000000000004,-0.5,0.2,1.5,-0.3,-0.5900000000000034,7.71,2.3499999999999996,12.74,-0.7999999999999998,-0.09999999999999998,-1.8,-0.8,-0.3,0.7,3.7,0.5,-68,11.3,-15,56.7,-0.1999999999999993,0.1,0.29999999999999993,-0.09999999999999998,0
2,0,-4,0,1,-3,-14.729999999999997,2.06,-1.9799999999999995,-5.999999999999999,-1.9999999999999998,-0.30000000000000004,0,0.7000000000000001,-9.5,1.8,1.5,-4.2,0,-0.4,1,0.7,0.8,-0.2,-0.2,0.6000000000000001,0.19999999999999996,-0.09999999999999998,1.2,0.5,0.1999999999999993,-2.1,-3.8,-1.1,-1,-1,-2,-0.2,28.5,23.1,12.500000000000004,-12.8,0.19999999999999996,0.2,-0.8,0,2.55,-0.64,-0.010000000000000009,2.07,-3.3000000000000007,-0.7,-0.2999999999999998,-1.5,-63,-38.3,-35,1.1999999999999993,-10.3,-4.6,-8.3,1.4,0.5,0.09999999999999998,0.5,0.30000000000000004,-8.999999999999996,0.6000000000000001,4,-1.7,-0.2999999999999998,-0.3,0.7,1,0,3.38,-6.819999999999999,-5.13,-1.7999999999999998,-0.4,-0.8,0.4,-1,0,1,0.5,-145.8,-18.5,-44.8,-26,-2,-1.2,-0.5000000000000001,0.5,0
3,0,-2,-1,-1,-4,11.04999999999999,0.48,10.58,-2.74,-1.5,-0.19999999999999996,1.5,0,0,-2.7,-8,-5.5,0,0.30000000000000004,-1,0,0.9999999999999998,-0.3,-3,-0.5,-2.5,-0.1,2.5,0,-3.7,-0.39999999999999997,2.3,-3.7,-2,-0.39999999999999997,1,-1.5,-33,-13.3,-16,16.5,-0.19999999999999996,-0.2,0.8,-0.19999999999999996,-0.16000000000000014,0.6399999999999999,-9.59,1.16,3.8000000000000007,-2.2,-6.199999999999999,-3.7,89.80000000000001,-37.8,-32.2,-63.7,-10.7,-2.1,5.3,-5.7,-1,-0.7,-1,0,-9.7,0.9000000000000001,4.3,-2.7,-2.5,-0.5,1.5,-0.5,1.8399999999999963,1.3900000000000001,26.84,14.280000000000001,-1.2,-0.19999999999999996,0.8,-0.2,-3.6,-0.30000000000000004,4.4,-0.10000000000000009,56.5,-17.200000000000003,-13.5,-43,-0.09999999999999964,0,3.9000000000000004,0.4,0
