Spread,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average,Target
11.5,1,0.15384615384615385,2,0,-5,0,9.630000000000003,7.300000000000001,-3.1599999999999997,-0.5899999999999999,1.4999999999999998,0.8,0.5,-0.2,6,2.6,3,0.7999999999999998,1,0,1,0.5,-1.2999999999999998,-0.8999999999999999,-0.3,-0.5,-0.5,-0.8,-0.5,-0.2,1.5000000000000009,0.8,6.5,2.3,1.5,0.9,1.5,0.7,-82.30000000000001,-44,-20.299999999999997,-22.999999999999996,0.5,-0.49999999999999994,-0.5,-0.8,-2.3000000000000007,-2.3899999999999997,-2.55,-2.8899999999999997,1.5,2.1999999999999997,2.5,2,75,40.699999999999996,52,44.2,12,5.3,5,0.8000000000000003,-2.2,-0.8999999999999999,-2.2,-0.7,5.5,-1.5,-4.5,0.19999999999999996,0,-1,-1,-0.30000000000000004,7,3.5700000000000003,-6.33,2.8299999999999996,1.7,0.7,-0.30000000000000004,-0.3,1.3,-0.10000000000000003,-0.7,0.09999999999999998,112.5,35.8,31.5,53.5,2.1999999999999993,1.2999999999999998,0.7,0.29999999999999993,7
13,1,0.1538461538461538,11,-2,6,-1,3.559999999999995,-2.56,-4.91,-8.1,1.5,0.2,-1.5,-1,5.699999999999999,-0.9,6.7,1.2000000000000002,-0.30000000000000004,-0.7,-0.3,-0.3,-1.5,-0.2,1.5,0.5,1,0.6,-1,-1,2.2,0.9,-3.8,-4.8,2.3,0.30000000000000004,-1.7,-1.7,-3.5,-12.2,38.5,116.5,0.5,0.5,-1.5,-0.49999999999999994,-2.01,-0.060000000000000026,5.4,3.25,2,0,0,-3,-12,0.7000000000000002,-47,-69.5,11.2,1.9,-12.8,-10.8,0.7000000000000002,0,1.7000000000000002,2.2,18.5,0.10000000000000009,16.5,5,1.7999999999999998,0.8,-1.2,-1.2,13.249999999999996,-3.12,3.7199999999999998,-4.879999999999999,1.5,0.2,-1.5,-1,3.3,1,-2.7,-1.7,55.80000000000001,-0.8000000000000007,83.8,7.299999999999997,0.5,0.6,0.4,-1,24
10,1,0.0714285714285714,4,-1,-9,0,10.069999999999993,3,-4.390000000000001,0.6499999999999999,0.19999999999999973,-1.2,-5.800000000000001,-2,7.399999999999999,-1.2999999999999998,-11.6,-2.8,0.2,-0.5,-0.8,0,-1.6,0.10000000000000003,-0.6,-0.3,0,0,-1,0,5,0.6,-0.9999999999999999,0.30000000000000004,1.4000000000000004,-0.6,-4.6,-1.6,-52.599999999999994,33.1,110.4,12.199999999999996,-0.40000000000000013,-1.1,-0.3999999999999999,0.8,-4.58,-0.8,-0.73,-0.28,1.4000000000000004,1.4,-3.6,-0.6000000000000001,-1.4000000000000057,7.2,-196.39999999999998,-84.9,6.199999999999999,-6.2,-35.8,-11.5,-1.8000000000000003,0.9,2.2,0.4,3.8000000000000043,-3.5,-15.2,-2.4,0.19999999999999996,-0.7999999999999999,-0.8,0,-2.0500000000000043,-11.6,-45.69,-15.690000000000001,0.19999999999999973,-1.2,-5.800000000000001,-2,1.8,-0.8,-0.2,0.3,50.19999999999999,-47.8,-366.8,-122.1,0.9000000000000004,-0.30000000000000004,-6.7,-3,42
9.5,0,0.1428571428571428,9,1,-2,-1,15.369999999999997,1.8599999999999994,9.120000000000001,6.890000000000001,1.1999999999999997,-1.2,1.2,0.9,4.400000000000002,0.40000000000000013,1.4,-3.6,-0.19999999999999996,0.5,1.7999999999999998,0.2,-1.4,0.29999999999999993,-0.4,-0.10000000000000003,0.3999999999999999,-0.19999999999999998,-0.6,1,3,-0.40000000000000013,-3,-0.29999999999999993,2,-1,0.9999999999999999,0.7,9.200000000000017,15.2,10.199999999999996,-36.8,1,0.30000000000000004,-1,0.7,-2.41,-0.07000000000000006,0.27,-0.06999999999999995,2,0.39999999999999997,2,0.7,27.400000000000006,-0.2999999999999998,35.4,-7.6,10.2,-7.2,4.199999999999999,4.9,0,1,0,-0.4,10.600000000000001,1.2999999999999998,-1.4,-3.0999999999999996,0.8000000000000003,-0.2,-0.2,1.2,7.019999999999996,-9.899999999999999,-4.41,0.3899999999999999,1.1999999999999997,-1.2,1.2,0.9,2.2,-0.5000000000000001,0.19999999999999996,1.2,87.40000000000003,-9.9,-4.6,-49.2,1.0999999999999996,-1,0.7999999999999999,0.4,6
10,1,0.24047619047619045,4,1,17,4,5.239999999999995,6.25,10.08,-1.9699999999999998,1.6,0.8999999999999999,1.6,-0.10000000000000003,3.8999999999999986,-0.5,9.9,0.5,-0.8,-0.1,-0.8,-0.1,0,-0.7000000000000001,0,0,1.1,1.1,3.0999999999999996,0.8,2.0999999999999996,0.39999999999999997,-0.9,-1.6,1.8999999999999995,0.6,0.8999999999999999,-0.4,-10.599999999999994,-22.6,-40.599999999999994,35.400000000000006,0.5,0.49999999999999994,-1.5,-1.2,1,-0.9000000000000001,-4.08,-0.8,2.1999999999999993,-0.10000000000000009,6.2,1.9000000000000001,3.400000000000034,-55.3,87.4,45.1,11.100000000000001,5.4,8.1,-2.6000000000000005,-0.9000000000000004,-0.9,0.09999999999999998,1.1,2.599999999999998,4.9,19.6,2.6,1.5999999999999999,1.6,1.6,0.2,15.639999999999997,9.75,31.88,0.2699999999999996,1.6,0.9,1.6,-0.09999999999999998,1.7,2.4,1.7,0.4,11.5,-22.2,199.5,51.5,0,0.1,4,0.7,3
11,1,0,3,1,8,0,11.870000000000005,5.68,18.26,-0.6299999999999999,0.6999999999999997,0.7,-0.3,0.09999999999999998,10.399999999999999,2.4,10.4,2.6999999999999997,-0.3,0,-0.3,-0.3,-0.7,-0.7,0.3,0,0,0.7,-1,0,2.8,1.8,7.800000000000001,3.2,1.2999999999999998,1.9,5.300000000000001,1.3,-52.79999999999998,-9.1,-170.8,-23.5,1.2999999999999998,-0.7,-0.7,-0.7,-2.12,-0.39,0.32000000000000006,-0.31000000000000005,5.700000000000001,-0.7,4.7,0.9999999999999999,86.49999999999997,13.8,133.5,80.1,8.3,6.6,5.3,2,-1,-0.30000000000000004,-4,-1,5.799999999999997,2.1,7.800000000000001,-2.9,0.9000000000000001,0.6,-0.09999999999999998,-0.39999999999999997,6.3799999999999955,-3.5700000000000003,6.77,-3.73,0.7999999999999998,0.8,-0.19999999999999996,-0.20000000000000007,1.6,1.2999999999999998,-0.4,-0.39999999999999997,125.20000000000005,38.599999999999994,147.2,57.900000000000006,0.7000000000000002,1.2,2.5,0.7999999999999999,3
15.5,1,0.15625,2,-1,3,3,13.880000000000003,-1.7,7.87,-0.33999999999999997,2.2,-1.1,-0.7999999999999999,0.2,8.1,-1.5,6.1,1.9,-0.30000000000000004,0,0.7000000000000001,0,-0.4,1,-0.4,-1.1,0.5000000000000001,-0.1,0.5000000000000001,0,-0.40000000000000036,-0.7,2.5999999999999996,3.6,0.8999999999999995,-1.1,0.8999999999999999,2.1,-68.99999999999997,36.6,-117,-15.999999999999998,-0.4,-0.4,-2.4,0.1,0.030000000000000027,1.78,0.030000000000000027,-1.92,6.4,0.4,11.399999999999999,0.9,89.5,-0.10000000000000142,196.5,51,11.3,-7,2.3,7.8,-1.6999999999999993,1,-0.7,0.10000000000000003,1.3999999999999986,-5.3,-4.6,6.1,0,0,0,0.2,14.529999999999998,-5.71,7.32,5.6,1.9999999999999998,-1,0,0.8,0.4,-0.9,0.4,1.5,92.70000000000002,-16.7,195.7,78,1.5999999999999996,-0.8,2.6,1.2,9
10.5,1,0.05555555555555558,0,-1,-7,1,9.120000000000005,4.74,12.45,1.13,1.3,-0.7,-0.7,-0.2,4.199999999999999,1.2,0.20000000000000018,0.5,-1.1,1.3,0.8999999999999999,-0.4,-0.7000000000000001,0.30000000000000004,0.30000000000000004,-0.3,0.10000000000000009,0.4,0.1,0.4,0.2999999999999998,-4.7,-1.7,-1.2,1.2000000000000002,-1.8,-0.7999999999999999,-0.3,-66.89999999999998,15.4,15.100000000000001,9.3,0.10000000000000009,-1.9,-1.9,-1,-0.73,0.54,-1.8900000000000001,-1.6400000000000001,1.0999999999999996,2.7,3.1,-0.5,30.100000000000023,50.8,108.1,14.799999999999999,10.600000000000001,-6.4,-3.4000000000000004,-1.5,-1.5999999999999996,0.7,0.3999999999999999,0.4,3.6000000000000014,-9,-17.4,0.7000000000000001,-0.5,-0.8,-1.5,-0.6,11.590000000000003,-9.34,-1.7400000000000002,4.17,1.5999999999999999,-0.4,-0.39999999999999997,-0.1,0.2,-1.2,-1.7999999999999998,-0.29999999999999993,53.19999999999999,32.2,9.200000000000003,21.4,1,0.2,0.4,0.4,14
11,1,0.17647058823529416,7,1,-2,0,1.9100000000000037,5.199999999999999,-2.670000000000001,-2.3200000000000003,0.7000000000000002,-1,-2.3,-1.3,4.299999999999997,-0.10000000000000009,0.30000000000000004,0.09999999999999998,0,0.4,0,0,-1.4999999999999998,-0.8,-0.5,-0.09999999999999998,0.30000000000000004,0.30000000000000004,0.30000000000000004,-0.09999999999999998,2.6000000000000005,3.9000000000000004,8.600000000000001,0,1.5999999999999996,0.2,1.6,-0.7999999999999999,31.400000000000006,-2.3000000000000003,34.4,22.2,-0.10000000000000009,-0.5,-1.1,-0.5,-1.9200000000000002,-2.9699999999999998,-1.9200000000000002,-0.73,1.9000000000000004,-0.09999999999999987,1.9000000000000001,-1.3,31.200000000000017,-15.1,5.199999999999999,-27.8,7.100000000000001,-1.5,-4.9,-7.5,0.2999999999999998,0.3,0.3,0.7,8.2,-0.09999999999999964,-8.8,1,0.40000000000000013,0.10000000000000009,-0.5999999999999999,-0.4,4.770000000000003,-3.8600000000000003,-13.409999999999998,-7.13,0.7000000000000002,-1,-2.3,-1.3,1.9,0.9,-0.1,-0.30000000000000004,28.400000000000034,-12.6,-41.6,-11.799999999999997,1.0999999999999996,-0.7,-2.5,-1,12
13.5,1,0.1111111111111111,1,4,8,-1,2.250000000000007,10.3,9.219999999999999,0.31999999999999995,0.8000000000000003,-0.8,0.8,0.20000000000000007,9.2,6.6,17.2,0.9,-0.10000000000000003,0.6,0.8999999999999999,0.1,-1.4999999999999998,0.2,1.5,-0.1,0.40000000000000013,-0.8999999999999999,-0.6,0.7,4.4,2.8,-1.6,-0.2,2.2,0.5,0.19999999999999996,0.09999999999999998,-39.599999999999994,-67.6,-18.599999999999994,-10.1,0.9999999999999998,-1.4,-2,-1,-2.87,-1.1,-0.37,-0.5700000000000001,4.1,4.1,10.1,0.1,68.70000000000002,56.7,157.7,27.199999999999996,9.800000000000004,-2.5,3.8,0,-1,-1.6,-1.0000000000000002,-0.5,7,0,6,-2.7,1.4000000000000001,-0.8999999999999999,-1.6,-0.1,7.549999999999997,-1.4900000000000002,12.859999999999998,-8.15,0.8999999999999999,-0.7,0.9000000000000001,0.10000000000000009,2.9000000000000004,-1.1,-3.0999999999999996,-0.1,71.60000000000002,60.3,205.6,20,0.6000000000000005,0.8,2.8,0.20000000000000007,6
