Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average,Target
1,0.07692307692307693,4,1,5,5,12.469999999999999,3.54,1.67,5.36,-1,0,-2,-0.7,0.5,-1.2,-4.5,3.2,-0.19999999999999996,-0.19999999999999998,-0.2,-0.2,-0.19999999999999996,-0.5,-2.2,-0.9,0.5,-0.09999999999999998,1.5,-0.3,-1.7000000000000002,-0.7,3.3,1.6,-1.7999999999999998,-0.2,-0.8,-0.5,14.5,-3.1000000000000014,44.5,-53.5,-1.5,-0.2,-0.5,-0.8,-0.7100000000000002,-0.32,-3.1500000000000004,-1.31,-3,0.7,-1,2,-71.5,8.2,38.5,33.5,-6.199999999999999,-1.2,-7.2,-3.5,0.5,0.2,1.4999999999999998,-0.8,3.1999999999999993,0.19999999999999973,-2.8,3.9000000000000004,-0.5,0.2,1.5,-0.3,-0.5900000000000034,7.71,2.3499999999999996,12.74,-0.7999999999999998,-0.09999999999999998,-1.8,-0.8,-0.3,0.7,3.7,0.5,-68,11.3,-15,56.7,-0.1999999999999993,0.1,0.29999999999999993,-0.09999999999999998,1
1,0.16666666666666669,-3,2,4,-1,-1.2100000000000009,3.38,0.07000000000000006,-9.64,1.2,0.2,-3.8,-1.7999999999999998,0.8000000000000007,3.2,-2.2,-5.6,0,0.30000000000000004,1,0,-0.8,0.5,1.2,0.2,0.40000000000000013,0.4,0.4,0.8,-0.10000000000000142,0.9,-5.1,-0.7,0.8999999999999995,0.20000000000000007,-4.1,-1.3,-17.200000000000017,-52.5,10.800000000000004,79,0.19999999999999996,0.6,-1.7999999999999998,-0.2,-0.1499999999999999,0.56,-0.9199999999999999,0.28,-1.6000000000000014,2.4,-1.5999999999999999,-3.8,-39.69999999999999,78.3,-30.699999999999996,-71.7,7,2,-28,-12.8,-0.7000000000000002,-1,0.3,1.9000000000000001,2.3999999999999986,-0.30000000000000004,-1.6,1.2,0.6000000000000001,0.8999999999999999,-1.4,0.8,4.109999999999999,4.05,6.88,-13.11,1.2000000000000002,0.19999999999999996,-3.8,-2,1.3,0.3,-2.7,0.5,-11.5,92.9,-8.500000000000007,-58.099999999999994,0.2999999999999998,1.3,-1.7,-1,35
1,0.10526315789473689,-3,0,0,-1,1.2999999999999972,5.8,1.7800000000000002,3.74,0.7999999999999998,0.39999999999999997,0.8,0.10000000000000003,2.5,0.8,-5.5,-2.5,-0.09999999999999998,0.6,1.9,0.2,-0.20000000000000018,0.1,0.8,0.10000000000000009,0.29999999999999993,-0.7,-0.7000000000000001,0.1,0.5,-3.9000000000000004,-8.5,-1.4,1,-1,-3,-0.6,-2.700000000000017,-27.4,186.3,46.5,-0.2999999999999998,-0.30000000000000004,-1.2999999999999998,0.6000000000000001,-2.24,0.30000000000000004,0.38,0.10000000000000009,1.6999999999999993,-1.3,-0.2999999999999998,0.4,60.39999999999998,35,31.4,6.699999999999999,6.900000000000002,0.5999999999999996,-0.1,-1.8,-0.2999999999999998,0,4.7,0.8999999999999999,0.5,1.2000000000000002,-1.5,-4.1,-0.19999999999999996,-0.19999999999999998,-1.2,0.09999999999999998,2.3299999999999983,2.9699999999999998,-16.42,-5.84,1,0.6,1,-0.09999999999999998,0,-0.3,-2,0,65.5,44.5,-43.5,-35.8,0.7999999999999998,1.7,0.9000000000000001,0.30000000000000004,7
1,0.09999999999999998,1,0,0,1,3.1599999999999966,-0.31000000000000005,5.710000000000001,-1.6900000000000002,1.3,-1,-1.7,-0.2,-0.1999999999999993,0.49999999999999994,-4.2,-1,0.10000000000000009,0.7000000000000001,2.1,0.09999999999999998,-0.30000000000000004,1.7,1.7,0.19999999999999998,0.19999999999999996,-0.5,-0.8,0.2,-0.40000000000000036,-1.6999999999999997,-6.4,-0.8999999999999999,0.5999999999999996,-1.1,-2.4,-0.4,1.9000000000000057,-11.100000000000001,66.9,53,0.5,-1.5,-0.5000000000000001,-0.10000000000000003,0.27,3.6,3.21,0.06,-1.5,1.5,-1.5,-0.6000000000000001,-28.5,18.200000000000003,-103.5,16.7,5.800000000000001,-9.5,-18.200000000000003,-3.7,-0.5,-0.8,0.5,1.1,4.800000000000001,-4.2,-6.2,3.3,0.40000000000000013,-1.6,-1.6,-0.3,2.020000000000003,-5.449999999999999,-25.919999999999998,-10.01,1.1,-1.2,-1.9,-0.39999999999999997,0.7,-3.3,-3.3,-0.5,2.8999999999999773,-15.399999999999999,-194.1,32.4,0.5,0.2,-2.1999999999999997,1.2,24
0,0.19047619047619052,2,-1,-3,-1,7.510000000000005,-2.3,8.55,-3.4799999999999995,1.2000000000000002,0.2,0.19999999999999996,-0.2,3.1999999999999993,0.5,1.2,0.20000000000000007,-0.9,0.8,-0.9,0.5,-0.30000000000000004,0,-1.3,0.2,-0.19999999999999996,-0.2,-0.19999999999999996,-0.3,1.1000000000000005,-2.9000000000000004,0.09999999999999998,0.2,1.2000000000000002,-1.4,-2.8,0,-15,45.6,96.99999999999999,12,0.5,0.5,1.5,-0.1,-0.6799999999999999,0.04999999999999993,-0.6799999999999999,0.51,-0.20000000000000107,-0.9000000000000001,-1.2,-0.2,-11.199999999999989,-39.5,5.800000000000001,9.2,5.700000000000003,0.40000000000000013,8.7,0.8,-0.5,1.5,2.5,0,4.199999999999999,-0.7999999999999999,-4.8,-2,0.19999999999999996,0.6,1.2,-0.5,4.760000000000005,-10.57,-18.6,-1.0899999999999999,0.9000000000000001,0.5,0.8999999999999999,0,0.6000000000000001,0.6,2.5999999999999996,-0.6,35.599999999999966,-6.4,-10.400000000000002,9.1,1.0999999999999996,-1.5,0.30000000000000004,-0.09999999999999998,-3
0,0.14285714285714285,2,-2,-5,-1,6.729999999999997,-3.76,-8.44,-0.18,2.2,-1.5,1.2000000000000002,0,10.2,3.1999999999999997,0.19999999999999973,0.49999999999999994,-0.5,0.19999999999999998,1.5,-0.1,-1,0,-1,-0.6,0.3999999999999999,-0.6,1.4,-0.2,3.8999999999999995,0.2,2.9000000000000004,0.1,2.7,-1.6,1.7000000000000002,-0.2,-87,4.699999999999999,23,28.1,1.4999999999999998,-2.1,-3.5,-0.6,-2.2800000000000002,0.35,-4.78,-0.74,6,0.30000000000000004,-0.9999999999999998,0.5,76.4,-30.6,39.4,-33.2,16.9,-8.8,9.9,-0.5,-1.8000000000000003,0.7999999999999999,0.2,0.6,5.799999999999997,0.09999999999999987,0.7999999999999999,1.2,1.7999999999999998,-1.2,1.8,-0.1,17.370000000000005,-13.28,-6.22,4.9,2.1999999999999997,-1.5,1.1999999999999997,0,2.8,-1.2,2.8,0.4,108.69999999999999,-6.599999999999998,64.69999999999999,-3.5999999999999996,0.7000000000000002,-1,1.1,-0.9,7
1,0.04761904761904767,3,-3,-14,-2,4.719999999999999,-5.82,-24.42,-1.8099999999999998,0.7999999999999998,0.5,0.8,-0.5,2.5,0.8000000000000003,-3.5,-1.5,-0.09999999999999998,0.19999999999999998,-0.09999999999999998,0,-0.8,-0.4,0.2,-0.3,0.6,0.30000000000000004,-0.4,-0.1,-1.5,-1.8,-10.5,-1.3,0.10000000000000053,0.09999999999999998,-2.9000000000000004,-0.4,10.900000000000006,30.9,69.9,-8.100000000000001,0,-0.7,-1,-0.6,-0.95,-1.3199999999999998,4.1899999999999995,-0.27,2.6999999999999993,1.0000000000000002,-2.3,-0.7,65,-12.599999999999998,-99,-20,2.8999999999999986,3.2,-6.1,-4,0.2999999999999998,1,1.3,-0.4,-0.8999999999999986,-3.9000000000000004,-8.9,-3.4,0.19999999999999996,-0.09999999999999998,-0.8,-0.5,8,-3.57,1.75,5.2,0.7000000000000002,0.7,0.7,-0.5,1,0.3,-1,-0.2,15.100000000000023,-0.20000000000000018,-60.900000000000006,-25.5,1.5999999999999996,-1.8,-1.7999999999999998,-0.30000000000000004,9
1,0.13636363636363635,1,3,14,2,-1.6300000000000026,-5.360000000000001,-4.01,3.91,-0.3999999999999999,-0.7,0.6,0.2,0.20000000000000284,1.7999999999999998,1.2000000000000002,-0.30000000000000004,0.20000000000000007,0.8999999999999999,0.19999999999999998,-0.1,0.09999999999999987,-3.5,-1.9000000000000001,0.4,-0.4,-0.1,0.6,0.3,0.2999999999999998,2,4.3,0.9000000000000001,-0.20000000000000018,0.5,2.8,0.5,-34.10000000000002,21.5,-69.1,-24.5,-0.7999999999999998,0.9,1.2000000000000002,0,-0.9400000000000004,-5.46,-3.3200000000000003,0.5200000000000001,0.40000000000000036,1.4,0.3999999999999999,0.5,18.19999999999999,-13.2,-52.8,32.9,-1.1000000000000014,-1.4,8.9,3.2,-0.5,0.7999999999999998,-0.5,-0.6000000000000001,0.10000000000000142,2.4,19.1,1.1,-0.9,-0.2,1.1,0.1,3.780000000000001,11.13,19.87,4.82,-0.2999999999999998,-0.6,0.7,0.30000000000000004,-1,3.3,3,-0.29999999999999993,21.900000000000034,-3.8000000000000007,-24.099999999999998,20.700000000000003,0.10000000000000053,-1,-1.9,0.7,-10
1,0.13043478260869568,2,-2,-9,1,3.0900000000000034,-5.3100000000000005,-19.830000000000002,-4.62,0.7999999999999998,0.5,-0.20000000000000007,-0.1,2,-0.6,-11,-0.8,-0.5,0.5,1.5,0.7,0.30000000000000004,0.6,-0.7,-0.09999999999999998,-0.09999999999999998,-0.10000000000000003,-0.09999999999999998,0,0.7999999999999998,-4.5,-6.199999999999999,2.5,0.2999999999999998,-1.7000000000000002,-3.6999999999999997,1.2,-53.29999999999998,80,129.70000000000002,-37.1,0.19999999999999996,0.5,-0.8,0.6000000000000001,0.4700000000000002,2.99,0.4700000000000002,-1.4200000000000002,0.6999999999999993,0.7,-3.3,0.1,1.5,17.799999999999997,5.5,34.3,3.299999999999999,-4.1,-17.7,3.5,-1.2000000000000002,1.8,2.8000000000000003,-0.4,5.5,-1.8,-9.5,1.2999999999999998,-0.6,0.8,0.4,0.4,8.020000000000003,-7.87,-6.529999999999999,-2.71,0.3999999999999999,0.09999999999999998,-1.6,0.19999999999999998,-1,0,1,0.5,31.599999999999966,9.2,-58.4,11.200000000000003,0.6000000000000005,-0.3999999999999999,-0.49999999999999994,0.6000000000000001,21
1,0.16666666666666663,5,7,14,1,1.2899999999999991,1.26,0.07000000000000028,-5.15,0.7999999999999998,2.2,2.8,-0.5,2.8000000000000007,4.1,13.8,-1.1,-0.19999999999999996,-0.2,0.8,0.4,-0.5,-0.8,-1.5,0,0.30000000000000004,1,0.30000000000000004,-0.1,0,2.4000000000000004,5,-0.6,0.5,1.8,3.5,-0.5,48.89999999999998,11.2,-88.1,24.500000000000004,0,0.7,2,-0.2,-0.52,-0.10999999999999988,-0.52,0.020000000000000018,2.6999999999999993,0.3999999999999999,2.7,-1.8,70.39999999999998,-15.599999999999994,88.4,-33.6,3.8999999999999986,14.3,20.9,-4.3,1.1000000000000005,0.4,-1.9,0.30000000000000004,2.6000000000000014,15.3,28.6,0.30000000000000004,0.5,1.5,1.5,0,0.7800000000000011,13.99,41.69,1.9599999999999997,0.7000000000000002,2.1,2.7,-0.6,1,2.3,3,0,44.10000000000002,40.1,202.1,-13.399999999999999,1.3999999999999995,0.10000000000000003,1.7999999999999998,-1.2,-17
