Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average,Target
1,0.02619047619047621,-2,2,5,0,-3.6299999999999955,2.44,-3.43,-8.17,0.8999999999999999,-0.4,-3.1,-0.1,-6.399999999999999,-2.4,-10.4,-1.7999999999999998,-0.4,-0.09999999999999998,2.6,1.3,-2.1,0.2,-2.1,-0.4,0.9000000000000001,0.8999999999999999,-0.10000000000000003,0.3,1.4000000000000004,-1.9,-2.6,1.4,1.2999999999999998,-0.7,-2.7,0,13.800000000000011,41.5,173.8,53.5,0,0.7,2,0,-1.6399999999999997,2.35,-0.23,-0.6600000000000001,-3.3000000000000007,-2.3,-5.3,0,-3.0999999999999943,-57.8,-141.10000000000002,-19.700000000000003,6.699999999999999,-4.6,-21.3,-0.6000000000000001,0.8999999999999995,0.19999999999999998,3.9000000000000004,2.2,-9.200000000000003,2.8000000000000003,-3.2,-2.2,1,1,1,0.7,-15.990000000000002,-3.7700000000000005,-25.14,-13.55,0.9000000000000001,-0.5,-3.0999999999999996,-0.5,3.1,0.8,3.1,1.1,-65.30000000000001,-83.6,-268.3,-32.699999999999996,1.4000000000000004,-0.8,-6.5,-1.3,28
1,0.1333333333333333,2,-1,-1,1,-1.0499999999999972,1.61,9.059999999999999,0.7400000000000001,-1.2,-0.5,-0.19999999999999996,-1.2,1.1999999999999993,-2.5,0.19999999999999996,-0.1,1,-1,-1,0,-1,0.6000000000000001,-1,-0.2,0,-0.6,1,0.3,2.8,0.5,-2.2,-1,0.40000000000000036,-0.6,-3.5999999999999996,-1.1,63.5,3.1999999999999957,150.5,-12.700000000000001,-0.5,-0.2,-1.5,-1.2,-2.63,0.5,-5.16,-2.13,2,-1.3,2,-1.2,4,-15.999999999999998,-5,-37.2,-4.5,-2.0999999999999996,-1.5,-7.8,0.5999999999999996,-0.09999999999999998,3.5999999999999996,-0.2,-4.399999999999999,1.1999999999999997,-1.4000000000000004,-1.2,0.40000000000000013,-0.2,0.4,-0.8999999999999999,-7.509999999999998,-2.04,-7.990000000000001,-4.3100000000000005,-1.2,-0.5,-0.19999999999999996,-1.2,1.4,-1,1.4,-0.7,-60,-47.7,-86,-42.5,-0.39999999999999947,0.09999999999999998,-0.6000000000000001,-1.5,-3
0,0,0,0,-5,-1,9.959999999999994,-2.4,-9.36,-0.33000000000000007,1.5999999999999999,-1.1,0.6,0.4,6.199999999999999,1.2,3.1999999999999997,1,-0.4,1,2.6,0.3,-0.4,0.3,0.6000000000000001,0.8,0.19999999999999996,-1.5,-0.8,-0.1,-2.3,-3,-6.3,0.19999999999999996,0.39999999999999947,-1.6,-1.5999999999999999,-0.09999999999999998,20,3.4000000000000004,-12,-11.5,0.3,0,-0.7,-0.2,-1.21,-0.020000000000000018,1.73,1.41,4.1,-0.5,-2.9,1.1,57.30000000000001,-6,-28.700000000000003,16.8,7.699999999999999,-8.3,-2.3000000000000003,1.7000000000000002,0.6000000000000005,-0.4,-0.3999999999999999,-0.7,-1.2999999999999972,-1.2999999999999998,-5.3,0.20000000000000018,0,-1.4,-1,0,8.299999999999997,-5.609999999999999,-15.34,4.44,1.6999999999999997,-0.9,0.7,0.2,0.4,-1.6,-1.6,-0.8999999999999999,44.799999999999955,2.5,-3.200000000000003,14.999999999999998,0.39999999999999947,-0.6,-1.3,0.3,10
0,0.05882352941176472,0,-3,-1,1,5.289999999999999,-10.34,-9.95,-4.81,0.7999999999999998,-1.2,-1.2,-0.7,3.599999999999998,-1,5.6,0.5999999999999999,-0.5000000000000001,0.19999999999999996,0.5,-0.30000000000000004,0,0,-1,-1.5,0.4,-0.30000000000000004,1.4,-0.09999999999999998,-0.8000000000000007,-0.8,3.2,3,0.39999999999999947,-0.6000000000000001,0.39999999999999997,0.7000000000000001,-25.200000000000017,26.799999999999997,17.8,-1.5,0,-0.7,0,-0.8,-1.8000000000000003,-0.6500000000000001,-5.13,-2.44,1.799999999999999,-1.2,-0.19999999999999973,-0.9,33,-21.4,17,-29.199999999999996,5.799999999999997,-6.199999999999999,-2.2,0.5999999999999999,-0.6999999999999997,0.7000000000000001,0.30000000000000004,0.1,2.8000000000000007,-4.9,1.8,1.5,0.10000000000000009,-0.8999999999999999,1.1,-0.09999999999999998,17.650000000000002,8.53,-10.93,1.03,1,-1,-1,-0.5,0.09999999999999998,-0.8999999999999999,2.1,1.4,44.10000000000002,-44.5,51.1,-13.700000000000003,0.4999999999999991,-2.2,-0.7,-1,8
0,0.20098039215686275,6,2,-9,1,-2.9200000000000017,-0.8900000000000001,-18.86,0.6399999999999999,1.1999999999999997,0.5,-3.8000000000000003,-0.7999999999999999,2.6999999999999993,1.1,-6.300000000000001,1.7000000000000002,-0.30000000000000004,0.4,-0.30000000000000004,-0.7,-0.30000000000000004,0.1,3.7,-0.09999999999999998,1.4000000000000001,0.8,0.40000000000000013,-0.5,2.9000000000000004,-0.8,-8.1,2.0999999999999996,2.1000000000000005,0.5,-5.8999999999999995,-0.20000000000000007,-23.900000000000006,-77.2,91.10000000000001,-9.600000000000001,1.6,-1.8,-3.4,-0.2,1.2000000000000002,1.0699999999999998,4.0600000000000005,-1.56,0.40000000000000036,0,-1.5999999999999999,0.8,-33.29999999999998,15.400000000000002,-51.300000000000004,23,9.3,3,-21.7,-1.5,-0.2999999999999998,-1,3.7,-0.10000000000000009,9.2,3.5,-8.8,-0.8,2.5,0.09999999999999998,-1.5,-0.5,-1.5100000000000051,8.54,-19.369999999999997,-8.25,1.1999999999999997,0.6,-2.8000000000000003,-0.6,2.8,0.2,-5.2,-0.4,-3.6000000000000227,64.4,-22.6,1.2000000000000028,0.7000000000000002,0.7,-2.4,-0.09999999999999998,31
0,0.13043478260869568,2,-5,-13,-1,3.6700000000000017,3.81,4,3.98,1.2999999999999998,1,-1.7000000000000002,-0.1,-1.5,-2.1,-9.5,-1.5,0,0.7000000000000001,-1,-0.4,-0.7999999999999998,-0.5,2.2,-0.5,0.30000000000000004,-0.7,-0.7,0.1,1.299999999999999,-2,-1.7,2,1.0999999999999996,-0.2,-1.9,0.6,11,64.3,59,-10.1,0.30000000000000004,-0.4,-1.6999999999999997,-1,0.52,-1.6900000000000002,3.55,-0.35,-0.5999999999999996,1.8,-0.6000000000000005,-0.6,-5.699999999999989,81.7,79.30000000000001,-19,7.299999999999997,6,-13.7,1.1,-0.20000000000000018,1.4,1.7999999999999998,-0.1,2.1000000000000014,-8.6,-19.9,-1.2000000000000002,0.9999999999999999,-1,-2,0.2,-2.8900000000000006,-4.75,-16.78,-0.94,1,1.4,-2,-0.1,1.8,-0.6,-4.199999999999999,0.6,-5,23.3,-35,-31.200000000000003,0.6000000000000005,1.9000000000000001,1.4,0.09999999999999998,21
0,0.2916666666666667,0,-2,5,3,-3.780000000000001,-0.5300000000000002,-5.55,3.44,1.1,-0.5,0.1,0,4.199999999999999,-0.39999999999999947,10.2,0.9000000000000001,-0.5,1.2,0.5,-0.7,-0.7,0,2.3,-0.39999999999999997,0.19999999999999996,-1.1,-1.8,-0.1,0.9000000000000004,-3.6999999999999997,-0.09999999999999998,1.3,1.2000000000000002,-1.5,0.19999999999999998,0.6,-15.800000000000011,-33.2,-193.8,-9.1,-0.5,0.9,-0.5,-0.19999999999999998,-1.3600000000000003,1.91,7.73,-0.13,3.8000000000000007,-1.2000000000000002,-2.2,0.2,83.79999999999998,42.8,40.800000000000004,0.19999999999999998,7.999999999999998,-6.6000000000000005,0.9999999999999999,1.6,-0.40000000000000036,-0.40000000000000013,-4.4,-0.7,-4.399999999999999,-4.7,13.6,5.1,0.09999999999999998,-1.3,-2.9000000000000004,-0.30000000000000004,8.260000000000005,-10.180000000000001,-9.24,10.870000000000001,1.2,-0.4,0.2,0.1,0.7999999999999999,-1.2000000000000002,-5.2,0.19999999999999996,36.299999999999955,72,255.3,17.8,0.7000000000000002,0.7,2.4000000000000004,0.4,7
0,0.27777777777777773,5,2,6,0,4.229999999999997,-6.99,-15.14,2.24,0.7000000000000002,0.39999999999999997,-0.30000000000000004,0.2,-1,0.7,9,1.8,-0.7,0,1.3,-0.4,-0.9,0.7,2.1,0.8,0,0,-2,-0.39999999999999997,0.6999999999999993,-0.6000000000000001,-3.3,-2.7,0.5,-0.09999999999999998,-1.5,-0.8,23.299999999999983,-19.1,-138.70000000000002,-10.3,0.8999999999999999,0.30000000000000004,0.8999999999999999,-0.30000000000000004,-1.29,1.34,3.84,1.12,0.7999999999999989,1.8,4.800000000000001,1.4000000000000001,-0.5999999999999943,25.1,113.4,8.6,2.8999999999999986,-0.3999999999999999,-7.1,-1.9,0.2999999999999998,-0.40000000000000013,-2.6999999999999997,-0.8999999999999999,-5.5000000000000036,-2.5,9.5,4.6000000000000005,0.9000000000000001,0.20000000000000007,-2.1,-0.39999999999999997,0.8399999999999963,-1.71,8.530000000000001,10.98,0.5,0.19999999999999996,-0.5000000000000001,0.2,1.8,-0.5,-4.2,-1.2000000000000002,-27.399999999999977,19,232.6,33.1,-0.10000000000000053,0,1.5,0.7,10
1,0.07763157894736844,2,-1,7,0,6.270000000000003,9.83,4.48,-3.1100000000000003,0.7999999999999998,0.1,-2.2,-1.2,1.8999999999999986,-2.0999999999999996,6.9,-0.30000000000000004,-1.0999999999999999,-0.4,2.9,1.5,0.3999999999999999,-0.6,2.4,0.6000000000000001,0.30000000000000004,-0.39999999999999997,-0.7,-0.8999999999999999,0.40000000000000036,-1.3,-2.6,-0.4,0.6000000000000005,-0.4,-2.4,-1.2,-15.400000000000006,-29.699999999999996,-186.4,-41.8,0.20000000000000007,-0.4,-1.8,-0.39999999999999997,0.8300000000000001,-2.9000000000000004,-0.9500000000000002,0.77,0.5,-1.2000000000000002,5.5,0.30000000000000004,22.100000000000023,51.8,132.1,27.900000000000002,5.800000000000001,0.10000000000000009,-15.2,-8.200000000000001,-0.7999999999999998,-0.4,-2.8,-0.6,7.100000000000001,-4.2,-4.9,-4.7,0.5,-0.9,-1.5000000000000002,-1.1,6.080000000000005,0.33000000000000007,21.159999999999997,1.5599999999999998,0.8999999999999999,0.2,-2.1,-1.3,0.09999999999999998,-0.30000000000000004,-3.9000000000000004,-1.7,46.39999999999998,23.7,152.4,23,1.1000000000000005,1.8,1.3,-0.7,21
0,0.09999999999999998,6,3,5,-1,-0.03999999999999915,9.57,16.630000000000003,3.1700000000000004,0.6000000000000001,-0.10000000000000009,-0.40000000000000013,0.5,4,2.4000000000000004,-3.0000000000000004,-1,0.30000000000000004,-0.1,-1.7,-0.4,-0.30000000000000004,-0.3,-0.3,-0.3,0.09999999999999987,0.10000000000000003,0.10000000000000003,0.1,-0.40000000000000036,1.9000000000000001,1.6,1,0.2999999999999998,1.6,1.3,0.6,-52.80000000000001,-81.8,-148.8,-10.300000000000004,0.5,-0.20000000000000007,0.5,0.3,-0.27,0.21000000000000002,-0.52,-0.9,-1.4000000000000004,1.6,0.6000000000000001,-1.7999999999999998,-29.5,38.8,91.5,-5,2.6999999999999993,3,-1.2999999999999998,3.4000000000000004,-1.0999999999999996,-1.4000000000000001,-2.0999999999999996,-0.5,10.3,-0.6999999999999997,-1.7000000000000002,0.10000000000000009,0.6000000000000001,-0.09999999999999998,0.6,0.6000000000000001,12.670000000000002,-7.68,2.379999999999999,-3.1900000000000004,0.5,0.19999999999999996,-0.5,0.4,0.9,0.2,0.9,0.9,11.399999999999977,16.4,48.4,5.8999999999999995,0.2999999999999998,1.2,3.1,0.6000000000000001,4
