Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average,Target
1,0.15384615384615385,2,0,-5,0,9.630000000000003,7.300000000000001,-3.1599999999999997,-0.5899999999999999,1.4999999999999998,0.8,0.5,-0.2,6,2.6,3,0.7999999999999998,1,0,1,0.5,-1.2999999999999998,-0.8999999999999999,-0.3,-0.5,-0.5,-0.8,-0.5,-0.2,1.5000000000000009,0.8,6.5,2.3,1.5,0.9,1.5,0.7,-82.30000000000001,-44,-20.299999999999997,-22.999999999999996,0.5,-0.49999999999999994,-0.5,-0.8,-2.3000000000000007,-2.3899999999999997,-2.55,-2.8899999999999997,1.5,2.1999999999999997,2.5,2,75,40.699999999999996,52,44.2,12,5.3,5,0.8000000000000003,-2.2,-0.8999999999999999,-2.2,-0.7,5.5,-1.5,-4.5,0.19999999999999996,0,-1,-1,-0.30000000000000004,7,3.5700000000000003,-6.33,2.8299999999999996,1.7,0.7,-0.30000000000000004,-0.3,1.3,-0.10000000000000003,-0.7,0.09999999999999998,112.5,35.8,31.5,53.5,2.1999999999999993,1.2999999999999998,0.7,0.29999999999999993,7
1,0.1538461538461538,5,0,6,0,5.43,-1.13,2.9299999999999997,6.48,0.5,0.8,1.5,0,2.5,0.8,-0.5,-2,-0.5,0.2,-0.5,-0.5,-1.7999999999999998,-0.2,-1.8,-0.8,1,0.30000000000000004,2,0,6.5,1.8,-1.5,0,2.8,1.1,0.8,0.3,0.30000000000001137,-44.1,42.3,-14.200000000000003,1.3,0,-1.7,-0.7,-3.1399999999999997,-1.01,-5.64,-1.01,4,-0.39999999999999997,0,1.5,15.699999999999989,-4.9,-84.3,7.2,11,6.3,9,1.5,-0.7000000000000002,-1.3,0.30000000000000004,-0.19999999999999996,-3.3000000000000007,4.4,12.7,-2.8,2.2,0.2,2.2,0.2,8.839999999999996,6.44,6.74,-1.049999999999999,0.7000000000000002,0.7,1.7,0.2,4,0.4,4,1,-8.5,27.8,-30.500000000000004,-6.5,-1.5999999999999996,0.7,-2.2,-0.39999999999999997,2
0,-0.07692307692307693,1,0,0,0,7.979999999999997,2.63,3.28,-4.4399999999999995,-0.5,0.2,-3.5,-0.7,10.7,-1.9,-3.3,-2.6,-0.3,-0.3,-0.3,-0.3,-1.9999999999999998,-0.7,2,0.30000000000000004,0.5,-0.2,-3.5,-1,6.2,-0.09999999999999998,0.19999999999999996,0,2,0,-2,-0.2,-32.5,51.2,43.5,63.7,-0.7,0,-0.7,0.6,-4.949999999999999,-1.46,5.3100000000000005,1.9500000000000002,4,-1.6,6,-0.20000000000000007,64.5,-10.5,71.5,30.2,4.699999999999999,0.4,-19.3,-2.5,-0.7000000000000002,1,1.3,1.6,3.4999999999999964,1.8,-9.5,-1.3,0.7999999999999998,0.09999999999999998,-3.2,0.3,-4.490000000000002,-2.05,12.48,-1.08,-0.20000000000000018,0.1,-3.2,-0.4,2.8,0.8,-5.2,0,50.5,-16.8,-91.49999999999999,3.6999999999999993,0.5999999999999996,0.4,0.20000000000000018,1.2999999999999998,24
1,-0.07692307692307693,2,1,1,1,-1.6200000000000045,-1.62,1.0999999999999996,6.24,-0.2999999999999998,0.3,0.7,-0.3,5.699999999999999,0.7000000000000001,-2.3,-2.8,0.8,-0.2,-2.2,-0.2,0.5,0.5,-0.5,-1,-0.3,0,-0.3,-0.3,2,-2.4,3,2,1.2999999999999998,-0.3,2.3,1.3,-91,-5.300000000000001,12,-6.5,0,-0.3,1,-0.5,2.15,1.43,2.15,-0.88,6.5,0.8,-6.5,-4.5,123,-14.3,-63,-27,2.5,-0.5,9.5,2.5,-1.2999999999999998,-0.30000000000000004,-0.30000000000000004,-0.3,-6,-1.5999999999999999,2,2,-0.5,-0.2,0.5,0,-0.7100000000000009,5.87,-13.21,-3.67,0,0.3,1,0,-1.1,-0.8,0.8999999999999999,0.8999999999999999,90.5,-16.9,-23.5,-17.499999999999996,0.5999999999999996,-0.8,-1.4,-0.4,-7
0,0.07692307692307693,2,-1,-5,-1,10.659999999999997,-0.050000000000000044,-10.46,-4.34,0.5,-0.8,-1.5,0.5,-5.800000000000001,-0.4,0.2,0.7,-0.2,0.2,-0.2,-0.2,-2.3,-0.3,2.7,1.7,0.8,-0.2,-1.2,-0.2,2,2.7,-9,-8.5,1,0.3,-3,-2,6,31.700000000000003,1,-47,1,0.7,-1,-1.5,-1.1799999999999997,-1.5699999999999998,1.61,3.6999999999999997,-3.5,0.5,2.5,0.5,-34.19999999999999,6.5,10.8,-4.2,3,-1.7,-14,-4.5,-0.2999999999999998,0.7,-1.3,-1.8,-3.5,-3.2,-15.5,-3,1.7999999999999998,-0.2,-3.2,-1.2,-3.1499999999999986,-10.049999999999999,11.849999999999998,22.54,0.20000000000000018,-0.8,-0.8,0.7,4.1,0.1,-5.9,-2.9000000000000004,-106.69999999999999,-9.399999999999999,-50.7,-11.200000000000003,0.5,-0.4,-2.6,-0.6000000000000001,17
0,0.07692307692307693,2,1,3,1,-1.8999999999999986,-5.140000000000001,-15.059999999999999,3.93,0.5,-0.5,0.5,1,1.8000000000000007,0.7999999999999999,-2.2,2.3,1,0,2,1,-0.19999999999999996,0.8,-2.2,-0.7,-1.2,-0.19999999999999998,0.8,-0.2,-3.3000000000000007,0.7,2.7,0.19999999999999996,-1,0,0,0.49999999999999994,21.69999999999999,-20.6,18.7,19.2,2,0,2,1,0.8300000000000001,0.24,-7.94,-2.92,-3.7,0.8999999999999999,1.3,1.8,-65.69999999999999,10.6,5.300000000000001,50.8,-2.3000000000000007,-1.6,3.7,8.2,0,-0.4,0,-0.5,9.999999999999996,-1,3,3.5,-0.7,0,1.3,-0.2,-10,3,6.24,10,0.30000000000000004,-0.4,0.30000000000000004,1.3,-0.5,-0.8,3.5,0.5,-5.5,3.1000000000000014,-38.5,77,-1.0999999999999996,-1,-0.3,1.7000000000000002,-6
0,0,5,-1,-8,0,17.060000000000002,-2.4600000000000004,9.18,7.4799999999999995,0.5,-1.2,-3.5,0.7999999999999999,6,-1.7,-11,-1.3,0,0,-1,-0.3,-1,0,3,0.5,-0.19999999999999996,-0.6,-1.2,0.6,2.7,-1,-7.3,-1,1,-1.3,-4,0.7,-52.19999999999999,50.8,17.8,-59.2,1,-0.3,0,-0.19999999999999996,-2.22,-0.42000000000000004,1.11,0.08999999999999997,1.8000000000000007,-1.2,-0.20000000000000018,0.5,-18.19999999999999,-18.8,-52.2,-7.2,5.699999999999999,-8,-28.3,4,-1.7000000000000002,1.7,2.3,-0.7,4,-2.6,-23,-1.5,0.5,-1.1,-3.5,0.2,-5.960000000000001,-13.75,-23.91,6.220000000000001,0.5,-1.2,-3.5,0.7999999999999999,1.5,-1.2,-6.5,-0.3,62.30000000000001,-22.999999999999996,-171.7,-18.5,0.5,-0.5,-2.3000000000000003,0.4,34
1,0.1538461538461538,11,-2,6,-1,3.559999999999995,-2.56,-4.91,-8.1,1.5,0.2,-1.5,-1,5.699999999999999,-0.9,6.7,1.2000000000000002,-0.30000000000000004,-0.7,-0.3,-0.3,-1.5,-0.2,1.5,0.5,1,0.6,-1,-1,2.2,0.9,-3.8,-4.8,2.3,0.30000000000000004,-1.7,-1.7,-3.5,-12.2,38.5,116.5,0.5,0.5,-1.5,-0.49999999999999994,-2.01,-0.060000000000000026,5.4,3.25,2,0,0,-3,-12,0.7000000000000002,-47,-69.5,11.2,1.9,-12.8,-10.8,0.7000000000000002,0,1.7000000000000002,2.2,18.5,0.10000000000000009,16.5,5,1.7999999999999998,0.8,-1.2,-1.2,13.249999999999996,-3.12,3.7199999999999998,-4.879999999999999,1.5,0.2,-1.5,-1,3.3,1,-2.7,-1.7,55.80000000000001,-0.8000000000000007,83.8,7.299999999999997,0.5,0.6,0.4,-1,24
1,0.1538461538461538,-1,2,4,-1,4.060000000000002,-1.4900000000000002,7.05,2.6899999999999995,0.20000000000000018,0.2,-1.8,-1.5,-3.5,2.1999999999999997,-1.5,-3.1999999999999997,-0.5,-0.8,-1.5,0.49999999999999994,-1,-0.3,1,1.7,-0.30000000000000004,0.4,-0.30000000000000004,-0.3,1.7999999999999998,0.7999999999999999,2.8,-0.4,-0.5,0.7999999999999999,1.5,-0.7000000000000001,83.5,-4.800000000000001,-139.5,-42.5,0.30000000000000004,0.6,2.3,0,-1.98,-1.2,-1.27,1.73,2,1.4,-1,-1.3,-40.80000000000001,18.2,84.19999999999999,30.200000000000003,1.3000000000000007,2.9,-1.7,-6.9,1.7000000000000002,0,-2.3,-1,-8,3,6,-7,1.2,0.2,-0.8,-0.8,-12.639999999999997,4.33,-0.13999999999999968,-13.58,0,0.3,-1,-1.2,2.3,0.7,-1.7,-2.4,-125.19999999999999,34.5,57.8,-28.4,-0.5999999999999996,0.2,3.1,0.8,3
1,-0.07692307692307693,-4,2,-1,4,-11.199999999999996,4.65,-14.330000000000002,-4.8,-2.5,0.49999999999999994,-0.5,-0.5,-5,2.3000000000000003,-2,2.6999999999999997,-0.7,0,-0.7,0.5,-0.8,-0.1,-0.8,-0.3,0.2,-0.2,0.19999999999999996,0,-2.5,1.5,2.5,3,-1.5,1.5,1.5,1.7,120,-37.699999999999996,21,-35.5,-0.5,0.2,-1.5,-0.3,-2.28,-0.27,-1.9899999999999998,-0.97,-4.5,2.2,-3.5,-0.7,-131.3,62.400000000000006,-30.299999999999997,45.2,-12.5,7.5,4.5,5,2.8,-0.8999999999999999,-0.2,-1,-4.300000000000001,3.4000000000000004,11.7,9.7,0,0.3,0,0,1.75,11.700000000000001,1.75,17.46,-1.7999999999999998,0.8999999999999999,0.2,0.2,0.8,0.5,0.8,0.3,-133.3,57.699999999999996,36.7,96.2,-3.4000000000000004,1.7999999999999998,-0.9999999999999999,0.8,-17
