,Feature,Correlation,P-Value
51,Underdog: Average Scoring Margin Last 1 Game vs. season average,0.1553899010841076,1.815358965206597e-14
1,Favorite: Average Scoring Margin This Season,0.15284336003664525,4.8467635231845845e-14
63,Underdog: Opponent Points per Game Last 1 Game vs. season average,-0.14161468301360808,3.026833017377721e-12
19,Favorite: Points per Game This Season,0.13798607531270676,1.075927815705216e-11
49,Underdog: Average Scoring Margin This Season,-0.13131892728588135,1.0153366553174261e-10
3,Favorite: Average Scoring Margin Last 1 Game vs. season average,-0.13131127374791207,1.0178916173404964e-10
45,Favorite: Turnover Margin per Game This Season,0.12242801054107559,1.706666503078157e-09
41,Favorite: Touchdowns per Game This Season,0.12158236244237226,2.2095806164960174e-09
21,Favorite: Points per Game Last 1 Game vs. season average,-0.11330958732375418,2.5203926117989643e-08
38,Favorite: Takeaways per Game Last 1 Game vs. season average,-0.11267811347276549,3.014291735348618e-08
47,Favorite: Turnover Margin per Game Last 1 Game vs. season average,-0.11260326115438495,3.0787161007261466e-08
61,Underdog: Opponent Points per Game This Season,0.10916001091584362,8.025497293900563e-08
43,Favorite: Touchdowns per Game Last 1 Game vs. season average,-0.10574238096368009,2.0190807367526156e-07
27,Favorite: Red Zone Scoring Attempts per Game This Season,0.10357751919009214,3.569692009889946e-07
36,Favorite: Takeaways per Game This Season,0.10082368306946346,7.250432426959134e-07
73,Underdog: Opponent Yards per Game Last 1 Game vs. season average,-0.09897202288359465,1.1556873902696233e-06
0,Favorite Win Percent,0.09200079314860296,6.21226083651179e-06
8,Favorite: Interceptions Thrown per Game This Season,-0.0915907613376836,6.833569057942873e-06
52,Underdog: Average Time of Possession (Excluding OT) This Season,-0.0870201532252167,1.9249076283889844e-05
95,Underdog: Time of Possession Percentage (Excluding OT) This Season,-0.08619181408234448,2.3100885692621155e-05
75,Underdog: Points per Game This Season,-0.0852720702018364,2.823365069911901e-05
56,Underdog: Giveaways per Game This Season,0.08383949218184868,3.8439010936959376e-05
50,Underdog: Average Scoring Margin Last 3 Games vs. season average,0.08240411546127097,5.211244192826577e-05
102,Underdog: Turnover Margin per Game Last 1 Game vs. season average,0.08061547747143097,7.563218447192643e-05
58,Underdog: Interceptions Thrown per Game This Season,0.08025091502350784,8.152285088377676e-05
30,Favorite: Rushing Yards per Game Last 1 Game vs. season average,-0.0801042467201074,8.401286055964693e-05
66,Underdog: Opponent Rushing Yards per Game Last 1 Game vs. season average,-0.07932945103458004,9.840317644201645e-05
101,Underdog: Turnover Margin per Game This Season,-0.07885872725650812,0.0001082501049306044
64,Underdog: Opponent Rushing Yards per Game This Season,0.07851260426709954,0.00011607555888068357
69,Underdog: Opponent Third Down Conversion Percentage Last 1 Game vs. season average,-0.0783554767442336,0.00011980130969845665
85,Underdog: Sacks per Game Last 1 Game vs. season average,0.0774992889224102,0.00014216332963290759
17,Favorite: Non-Offensive Touchdowns per Game This Season,0.07646191254022412,0.00017452225169994356
77,Underdog: Points per Game Last 1 Game vs. season average,0.0761596968016149,0.0001851795968106764
78,Underdog: Red Zone Scoring Attempts per Game This Season,-0.0747482011770853,0.00024355895206983012
6,Favorite: Giveaways per Game This Season,-0.07440828274375873,0.00025999497552265543
25,Favorite: QB Sacked per Game This Season,-0.07438999524434789,0.0002609080429208297
62,Underdog: Opponent Points per Game Last 3 Games vs. season average,-0.07376668183863207,0.00029388676626794063
12,Favorite: Opponent Points per Game Last 1 Game vs. season average,0.07338054475580401,0.00031623314231076226
26,Favorite: QB Sacked per Game Last 1 Game vs. season average,0.07335049660432008,0.00031803713069634813
65,Underdog: Opponent Rushing Yards per Game Last 3 Games vs. season average,-0.07305354857773337,0.00033638996766527547
86,Underdog: Seconds per Play This Season,-0.072404515892706,0.00038000531970080423
48,Underdog Win Percent,-0.07171315578181454,0.0004322400966209335
11,Favorite: Opponent Points per Game This Season,-0.07118906364544535,0.0004762210640181507
9,Favorite: Interceptions Thrown per Game Last 1 Game vs. season average,0.07047157686943346,0.0005432203260664989
80,Underdog: Rushing Yards per Game This Season,-0.07025141146159665,0.0005654771727386687
28,Favorite: Red Zone Scoring Attempts per Game Last 1 Game vs. season average,-0.07019002109481758,0.0005718328675241528
18,Favorite: Non-Offensive Touchdowns per Game Last 1 Game vs. season average,-0.06920347538467951,0.0006835305190214287
71,Underdog: Opponent Yards per Game This Season,0.0657060394867262,0.0012637550559284434
67,Underdog: Opponent Tackles per Game This Season,-0.0649425881837938,0.001439831752951856
90,Underdog: Takeaways per Game Last 1 Game vs. season average,0.0649392874152905,0.0014406398212930861
83,Underdog: Sack Percentage Last 1 Game vs. season average,0.06392461002521252,0.0017098189463195185
