Feature,Importance
Points per Game This Season,0.09858231622844132
Points per Game Last 1 Game vs. season average,0.06889160087292341
Win Percent Diff,0.06034029091576805
Kickoffs per Game This Season,0.05554319439643081
Turnover Margin per Game Last 1 Game vs. season average,0.05144772934050036
Turnover Margin per Game This Season,0.05118728178279231
Kickoffs per Game Last 1 Game vs. season average,0.04484590667622137
Rushing Attempts per Game Last 1 Game vs. season average,0.04150932572883412
Extra Points Made per Game Last 1 Game vs. season average,0.03725086027010589
Net Punt Yards per Game This Season,0.03577408701828602
Punt Attempts per Game This Season,0.034393764297530965
Interceptions Thrown Percentage Last 1 Game vs. season average,0.03256921951740335
Points per Game Last 3 Games vs. season average,0.02747094469560988
Takeaways per Game Last 1 Game vs. season average,0.02701149121044799
Takeaways per Game This Season,0.02439817373519617
Yards per Pass Attempt Last 1 Game vs. season average,0.018980362813946217
Kickoffs per Game @ vs. season average,0.018612336489133473
Interceptions Thrown Percentage @ vs. season average,0.016740269303737305
Third Down Conversion Percentage @ vs. season average,0.0158209796753701
Kicking Points per Game Last 3 Games vs. season average,0.01340693885948014
Turnover Margin per Game @ vs. season average,0.012864549615374624
Kicking Points per Game This Season,0.011750366301768065
Touchdowns per Game Last 1 Game vs. season average,0.011553555431765096
Touchdowns per Game @ vs. season average,0.011412749659637315
Completion Percentage @ vs. season average,0.011405039017856862
Points per Game @ vs. season average,0.01126815349330458
Yards per Game @ vs. season average,0.010903488714042816
Passing Yards per Game Last 3 Games vs. season average,0.009464675697467539
Opponent Fumbles per Game Last 3 Games vs. season average,0.008565903954638871
Giveaways per Game Last 1 Game vs. season average,0.00830114685683247
Opponent Interceptions Thrown per Game @ vs. season average,0.008215340414107486
Third Down Conversion Percentage Last 1 Game vs. season average,0.008029705768593862
Interceptions Thrown Percentage Last 3 Games vs. season average,0.007761918002765629
Yards per Pass Attempt This Season,0.007275015262396099
Rushing Attempts per Game This Season,0.007100100435019655
Kicking Points per Game Last 1 Game vs. season average,0.006556129305774914
Passing First Downs per Game This Season,0.006358488290739644
Kickoffs per Game Last 3 Games vs. season average,0.005940775234381608
Touchdowns per Game This Season,0.005859357554787418
Passing First Downs per Game Last 1 Game vs. season average,0.005656406767849071
Rushing Attempts per Game Last 3 Games vs. season average,0.005575169165473928
Fourth Downs per Game @ vs. season average,0.005472934034682511
Net Punt Yards per Game @ vs. season average,0.0053843619089479966
Extra Points Made per Game Last 3 Games vs. season average,0.005016553211332847
Takeaways per Game @ vs. season average,0.0047836287847473295
Passing First Downs per Game @ vs. season average,0.004410814271525142
First Downs per Game Last 3 Games vs. season average,0.004191863414733068
Yards per Pass Attempt Last 3 Games vs. season average,0.0028383556432187086
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.002800242148797854
Yards per Game Last 3 Games vs. season average,0.0025196077389167673
First Downs per Game @ vs. season average,0.0024602879102811523
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.0019326268166323078
Average Time of Possession (Excluding OT) This Season,0.0009110908943144878
Opponent Interceptions Thrown per Game This Season,0.0006825244491330055
Is Favorite Home Team,0.0
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.0
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.0
Completion Percentage This Season,0.0
Completion Percentage Last 1 Game vs. season average,0.0
Completion Percentage Last 3 Games vs. season average,0.0
Extra Points Made per Game This Season,0.0
Extra Points Made per Game @ vs. season average,0.0
Giveaways per Game Last 3 Games vs. season average,0.0
Giveaways per Game This Season,0.0
Giveaways per Game @ vs. season average,0.0
First Downs per Game This Season,0.0
First Downs per Game Last 1 Game vs. season average,0.0
Fourth Downs per Game This Season,0.0
Fourth Downs per Game Last 3 Games vs. season average,0.0
Fourth Downs per Game Last 1 Game vs. season average,0.0
Average Time of Possession (Excluding OT) @ vs. season average,0.0
Net Punt Yards per Game Last 1 Game vs. season average,0.0
Kicking Points per Game @ vs. season average,0.0
Net Punt Yards per Game Last 3 Games vs. season average,0.0
Interceptions Thrown Percentage This Season,0.0
Opponent Fumbles per Game This Season,0.0
Opponent Fumbles per Game Last 1 Game vs. season average,0.0
Opponent Fumbles per Game @ vs. season average,0.0
Passing Yards per Game Last 1 Game vs. season average,0.0
Passing Yards per Game This Season,0.0
Passing Yards per Game @ vs. season average,0.0
Passing First Downs per Game Last 3 Games vs. season average,0.0
Punt Attempts per Game @ vs. season average,0.0
Punt Attempts per Game Last 1 Game vs. season average,0.0
Punt Attempts per Game Last 3 Games vs. season average,0.0
Rushing Attempts per Game @ vs. season average,0.0
Third Down Conversion Percentage This Season,0.0
Third Down Conversion Percentage Last 3 Games vs. season average,0.0
Takeaways per Game Last 3 Games vs. season average,0.0
Touchdowns per Game Last 3 Games vs. season average,0.0
Turnover Margin per Game Last 3 Games vs. season average,0.0
Yards per Game This Season,0.0
Yards per Game Last 1 Game vs. season average,0.0
Yards per Pass Attempt @ vs. season average,0.0
