Feature,Importance
Points per Game Last 1 Game vs. season average,0.07628886738853527
Points per Game This Season,0.06692963981005479
Turnover Margin per Game Last 1 Game vs. season average,0.05662707640835852
Turnover Margin per Game This Season,0.050555663572014825
Win Percent Diff,0.050058824203807625
Kickoffs per Game @ vs. season average,0.03797302989591448
Takeaways per Game Last 1 Game vs. season average,0.036493245198009575
Rushing Attempts per Game Last 1 Game vs. season average,0.03208256625708426
Kickoffs per Game This Season,0.031015213837811074
Extra Points Made per Game Last 1 Game vs. season average,0.029946687376798616
Net Punt Yards per Game This Season,0.02933067062499258
Fourth Downs per Game Last 1 Game vs. season average,0.025737187857373743
Giveaways per Game Last 1 Game vs. season average,0.025144500141629795
Rushing Attempts per Game @ vs. season average,0.024205234475568164
Touchdowns per Game Last 1 Game vs. season average,0.02075443691420829
Touchdowns per Game @ vs. season average,0.01950234143545815
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.019190222576861538
Yards per Pass Attempt This Season,0.0173864179667951
Interceptions Thrown Percentage Last 3 Games vs. season average,0.01677199179954492
Interceptions Thrown Percentage @ vs. season average,0.014175702104407542
Interceptions Thrown Percentage This Season,0.01387859901817563
Passing Yards per Game Last 1 Game vs. season average,0.013142349350620846
Interceptions Thrown Percentage Last 1 Game vs. season average,0.012916380890389658
First Downs per Game Last 3 Games vs. season average,0.01266158122785559
Completion Percentage @ vs. season average,0.012459585750979805
First Downs per Game This Season,0.01228327906558727
Third Down Conversion Percentage @ vs. season average,0.011846640048913991
Rushing Attempts per Game This Season,0.010797337575774987
Takeaways per Game This Season,0.010620736378467957
Punt Attempts per Game Last 3 Games vs. season average,0.010415848473431289
Third Down Conversion Percentage Last 3 Games vs. season average,0.010299924055981874
Kicking Points per Game Last 3 Games vs. season average,0.009923752951850398
Extra Points Made per Game @ vs. season average,0.009818463101511705
Completion Percentage Last 1 Game vs. season average,0.009365665645446643
Giveaways per Game @ vs. season average,0.008921781030810112
Punt Attempts per Game This Season,0.008868406624077904
Points per Game @ vs. season average,0.00832004366064127
Kicking Points per Game This Season,0.008206285943572313
Yards per Game Last 3 Games vs. season average,0.007326062921269775
Yards per Game This Season,0.0072300791626688805
Average Time of Possession (Excluding OT) @ vs. season average,0.007198863973742597
Yards per Pass Attempt @ vs. season average,0.007114770874615284
Points per Game Last 3 Games vs. season average,0.006978839515930738
First Downs per Game Last 1 Game vs. season average,0.00607396401219701
Kickoffs per Game Last 3 Games vs. season average,0.005888059359656868
Yards per Pass Attempt Last 1 Game vs. season average,0.005465401488251978
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.005173489156850543
Completion Percentage Last 3 Games vs. season average,0.004739401452186106
First Downs per Game @ vs. season average,0.004661886324907327
Kickoffs per Game Last 1 Game vs. season average,0.004447776970358719
Punt Attempts per Game @ vs. season average,0.004294851583129573
Touchdowns per Game This Season,0.003959150047509442
Net Punt Yards per Game Last 3 Games vs. season average,0.003900821064223296
Net Punt Yards per Game @ vs. season average,0.003862004697880822
Rushing Attempts per Game Last 3 Games vs. season average,0.0036413246408557747
Fourth Downs per Game Last 3 Games vs. season average,0.0035559443281685922
Opponent Fumbles per Game Last 1 Game vs. season average,0.0034321658707933593
Turnover Margin per Game @ vs. season average,0.0034225569299902135
Net Punt Yards per Game Last 1 Game vs. season average,0.0030940182896294958
Third Down Conversion Percentage Last 1 Game vs. season average,0.0027961004263956472
Punt Attempts per Game Last 1 Game vs. season average,0.0027589727861902467
Opponent Fumbles per Game This Season,0.002684114137818133
Kicking Points per Game Last 1 Game vs. season average,0.002653714057574148
Yards per Game Last 1 Game vs. season average,0.002514692459612002
Passing Yards per Game Last 3 Games vs. season average,0.0023156668409425635
Opponent Interceptions Thrown per Game This Season,0.0011662938855578845
Passing First Downs per Game Last 3 Games vs. season average,0.0009724547287062356
Extra Points Made per Game Last 3 Games vs. season average,0.0009644068413314368
Opponent Fumbles per Game Last 3 Games vs. season average,0.000488696293281592
Third Down Conversion Percentage This Season,0.00017607911965707268
Kicking Points per Game @ vs. season average,0.00013119511879839074
Average Time of Possession (Excluding OT) This Season,0.0
Is Favorite Home Team,0.0
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.0
Fourth Downs per Game This Season,0.0
Fourth Downs per Game @ vs. season average,0.0
Completion Percentage This Season,0.0
Extra Points Made per Game This Season,0.0
Opponent Interceptions Thrown per Game @ vs. season average,0.0
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.0
Giveaways per Game Last 3 Games vs. season average,0.0
Giveaways per Game This Season,0.0
Passing First Downs per Game This Season,0.0
Opponent Fumbles per Game @ vs. season average,0.0
Passing First Downs per Game Last 1 Game vs. season average,0.0
Passing First Downs per Game @ vs. season average,0.0
Passing Yards per Game This Season,0.0
Passing Yards per Game @ vs. season average,0.0
Takeaways per Game Last 3 Games vs. season average,0.0
Takeaways per Game @ vs. season average,0.0
Turnover Margin per Game Last 3 Games vs. season average,0.0
Touchdowns per Game Last 3 Games vs. season average,0.0
Yards per Game @ vs. season average,0.0
Yards per Pass Attempt Last 3 Games vs. season average,0.0
