Feature,Importance
Passing Yards per Game @ vs. season average,0.07048067267515144
Turnover Margin per Game Last 1 Game vs. season average,0.06877101932929665
Passing First Downs per Game @ vs. season average,0.06466070739603569
Kickoffs per Game This Season,0.05358527605344629
Interceptions Thrown Percentage Last 1 Game vs. season average,0.053297163568599294
Yards per Game Last 1 Game vs. season average,0.03242761155749772
Yards per Pass Attempt Last 1 Game vs. season average,0.02866456028926691
Passing Yards per Game Last 1 Game vs. season average,0.02756605021549681
Rushing Attempts per Game @ vs. season average,0.02608059170843888
Net Punt Yards per Game Last 3 Games vs. season average,0.02495502149137023
Win Percent Diff,0.024617273686668027
Interceptions Thrown Percentage Last 3 Games vs. season average,0.024345015767028307
Rushing Attempts per Game Last 1 Game vs. season average,0.024272529893690987
Passing First Downs per Game This Season,0.023643142033025123
Net Punt Yards per Game @ vs. season average,0.023636618615965117
Turnover Margin per Game @ vs. season average,0.023433700017846858
Completion Percentage This Season,0.02326292879028822
Points per Game Last 3 Games vs. season average,0.02317764338431056
Touchdowns per Game Last 1 Game vs. season average,0.019480144921337015
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.017686102421956635
Opponent Fumbles per Game @ vs. season average,0.014842520698880535
Touchdowns per Game @ vs. season average,0.013661920976677552
Points per Game This Season,0.013560039399768938
Takeaways per Game @ vs. season average,0.013524403034523807
Kicking Points per Game Last 1 Game vs. season average,0.01339001676892773
Kickoffs per Game Last 1 Game vs. season average,0.01282209663778189
First Downs per Game Last 1 Game vs. season average,0.012710960013258846
Giveaways per Game @ vs. season average,0.011966391207530229
Points per Game Last 1 Game vs. season average,0.010492916046244858
Fourth Downs per Game This Season,0.010417269245157639
Passing First Downs per Game Last 3 Games vs. season average,0.009077299601463916
Passing First Downs per Game Last 1 Game vs. season average,0.009057731456315672
Extra Points Made per Game Last 1 Game vs. season average,0.008299661497183947
Interceptions Thrown Percentage This Season,0.008087412070080499
Fourth Downs per Game Last 3 Games vs. season average,0.006989353196866477
Completion Percentage @ vs. season average,0.006862682759150815
Extra Points Made per Game @ vs. season average,0.006731195895191369
Interceptions Thrown Percentage @ vs. season average,0.006601863746875206
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.006524362902808711
Kicking Points per Game @ vs. season average,0.0063196767807132456
Kicking Points per Game This Season,0.006125821415216958
Yards per Game @ vs. season average,0.006014249278698547
Completion Percentage Last 1 Game vs. season average,0.005949527610322632
Kicking Points per Game Last 3 Games vs. season average,0.005934230518728027
Rushing Attempts per Game This Season,0.005551559362406175
Passing Yards per Game This Season,0.00548838833171477
Rushing Attempts per Game Last 3 Games vs. season average,0.005380668329656212
Net Punt Yards per Game This Season,0.005339612494309919
Third Down Conversion Percentage Last 3 Games vs. season average,0.005172477439883986
Takeaways per Game This Season,0.004865871807800034
Yards per Pass Attempt @ vs. season average,0.004668610652884517
Turnover Margin per Game Last 3 Games vs. season average,0.004554972966056183
Third Down Conversion Percentage This Season,0.00453317461778636
Third Down Conversion Percentage Last 1 Game vs. season average,0.004227863319919884
Kickoffs per Game Last 3 Games vs. season average,0.004175873907467107
Touchdowns per Game Last 3 Games vs. season average,0.003755752557049337
First Downs per Game Last 3 Games vs. season average,0.003685393987567032
Opponent Interceptions Thrown per Game This Season,0.0032427753013311404
Points per Game @ vs. season average,0.0031528424093964277
Turnover Margin per Game This Season,0.0030389233195900938
First Downs per Game @ vs. season average,0.0028956508957749053
Passing Yards per Game Last 3 Games vs. season average,0.0028347856663306532
Takeaways per Game Last 3 Games vs. season average,0.002558066393183658
Opponent Interceptions Thrown per Game @ vs. season average,0.002350171107039061
Opponent Fumbles per Game Last 1 Game vs. season average,0.0020054697305795528
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.001761954098598811
Punt Attempts per Game This Season,0.0015606104686670462
Fourth Downs per Game Last 1 Game vs. season average,0.0015571937321395364
Punt Attempts per Game Last 3 Games vs. season average,0.0012998713921584905
Net Punt Yards per Game Last 1 Game vs. season average,0.0012741063963042038
Yards per Pass Attempt This Season,0.00108720212863653
Completion Percentage Last 3 Games vs. season average,0.0008352513586151856
Opponent Fumbles per Game This Season,0.0007160488172823962
Giveaways per Game This Season,0.0006575463095246613
Fourth Downs per Game @ vs. season average,0.0003936157940143311
Punt Attempts per Game Last 1 Game vs. season average,0.0003419947781550099
Average Time of Possession (Excluding OT) This Season,0.00023459968830796569
Extra Points Made per Game Last 3 Games vs. season average,0.0001766487340913326
Average Time of Possession (Excluding OT) @ vs. season average,0.0001693949842878082
Giveaways per Game Last 1 Game vs. season average,0.00014081414261599205
Yards per Game This Season,0.0001005210881361468
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,7.212132885674664e-05
Extra Points Made per Game This Season,5.71277928203531e-05
Yards per Game Last 3 Games vs. season average,4.113195099067542e-05
Touchdowns per Game This Season,1.4275220430113515e-05
Giveaways per Game Last 3 Games vs. season average,1.2812332556675017e-05
Kickoffs per Game @ vs. season average,8.682276544057987e-06
First Downs per Game This Season,1.9401345414053395e-07
Is Favorite Home Team,0.0
Opponent Fumbles per Game Last 3 Games vs. season average,0.0
Third Down Conversion Percentage @ vs. season average,0.0
Takeaways per Game Last 1 Game vs. season average,0.0
Punt Attempts per Game @ vs. season average,0.0
Yards per Pass Attempt Last 3 Games vs. season average,0.0
