Feature,Importance
Yards per Pass Attempt Last 1 Game vs. season average,0.06402037306931527
Extra Points Made per Game @ vs. season average,0.0572038648698315
Turnover Margin per Game This Season,0.05054806771237374
First Downs per Game This Season,0.045035661801532005
Average Time of Possession (Excluding OT) This Season,0.044616229446962384
Yards per Game Last 1 Game vs. season average,0.041147368830775535
Kicking Points per Game Last 1 Game vs. season average,0.0376019662621127
Passing Yards per Game Last 3 Games vs. season average,0.037237954580577444
Third Down Conversion Percentage Last 3 Games vs. season average,0.03606679432588909
Punt Attempts per Game Last 3 Games vs. season average,0.03396182969396822
Rushing Attempts per Game Last 3 Games vs. season average,0.029912004763157536
Takeaways per Game Last 1 Game vs. season average,0.02828718527393149
Giveaways per Game @ vs. season average,0.02741521158372254
Touchdowns per Game This Season,0.026029351342562373
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.02589766657737282
Opponent Fumbles per Game @ vs. season average,0.024658869104590815
Net Punt Yards per Game Last 1 Game vs. season average,0.02418102499693469
Opponent Fumbles per Game This Season,0.024084761708183758
Fourth Downs per Game Last 3 Games vs. season average,0.023236106837174777
First Downs per Game @ vs. season average,0.022472209754552313
Interceptions Thrown Percentage @ vs. season average,0.02137522180562725
Points per Game @ vs. season average,0.020781314280348365
Punt Attempts per Game @ vs. season average,0.020466505932930198
Turnover Margin per Game Last 1 Game vs. season average,0.01858401326559678
Rushing Attempts per Game @ vs. season average,0.017705270143836348
Interceptions Thrown Percentage This Season,0.01644217279906187
Giveaways per Game Last 1 Game vs. season average,0.016114240562970072
Interceptions Thrown Percentage Last 1 Game vs. season average,0.015140560933418002
Points per Game Last 1 Game vs. season average,0.014618259557119598
Opponent Interceptions Thrown per Game @ vs. season average,0.013317276266037353
Yards per Game Last 3 Games vs. season average,0.012964097256996139
Third Down Conversion Percentage @ vs. season average,0.012944020481967322
Win Percent Diff,0.012772997930031327
Giveaways per Game Last 3 Games vs. season average,0.01169806183542042
Third Down Conversion Percentage Last 1 Game vs. season average,0.011554863817489325
Completion Percentage Last 3 Games vs. season average,0.01032963513718003
Kicking Points per Game Last 3 Games vs. season average,0.009960304758496562
Net Punt Yards per Game This Season,0.009525911274524653
Completion Percentage This Season,0.008567294390438091
Points per Game This Season,0.00668787916917031
Net Punt Yards per Game Last 3 Games vs. season average,0.004852544127728223
Turnover Margin per Game @ vs. season average,0.003457534911640749
Takeaways per Game Last 3 Games vs. season average,0.0025443716830557505
Completion Percentage @ vs. season average,0.0018034587570178139
First Downs per Game Last 3 Games vs. season average,0.0006760343614165694
Turnover Margin per Game Last 3 Games vs. season average,0.0006170607320682977
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.00037218852088420314
Kickoffs per Game @ vs. season average,0.00032207635305005124
Yards per Pass Attempt This Season,0.00011908838459856801
Kickoffs per Game This Season,7.123803435867187e-05
First Downs per Game Last 1 Game vs. season average,0.0
Fourth Downs per Game This Season,0.0
Giveaways per Game This Season,0.0
Fourth Downs per Game @ vs. season average,0.0
Completion Percentage Last 1 Game vs. season average,0.0
Average Time of Possession (Excluding OT) @ vs. season average,0.0
Is Favorite Home Team,0.0
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.0
Extra Points Made per Game Last 3 Games vs. season average,0.0
Extra Points Made per Game This Season,0.0
Fourth Downs per Game Last 1 Game vs. season average,0.0
Extra Points Made per Game Last 1 Game vs. season average,0.0
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.0
Opponent Interceptions Thrown per Game This Season,0.0
Passing Yards per Game Last 1 Game vs. season average,0.0
Passing Yards per Game @ vs. season average,0.0
Passing First Downs per Game This Season,0.0
Passing First Downs per Game Last 3 Games vs. season average,0.0
Passing First Downs per Game Last 1 Game vs. season average,0.0
Passing First Downs per Game @ vs. season average,0.0
Interceptions Thrown Percentage Last 3 Games vs. season average,0.0
Kickoffs per Game Last 3 Games vs. season average,0.0
Kicking Points per Game This Season,0.0
Kicking Points per Game @ vs. season average,0.0
Kickoffs per Game Last 1 Game vs. season average,0.0
Net Punt Yards per Game @ vs. season average,0.0
Opponent Fumbles per Game Last 3 Games vs. season average,0.0
Opponent Fumbles per Game Last 1 Game vs. season average,0.0
Points per Game Last 3 Games vs. season average,0.0
Passing Yards per Game This Season,0.0
Takeaways per Game This Season,0.0
Takeaways per Game @ vs. season average,0.0
Punt Attempts per Game Last 1 Game vs. season average,0.0
Punt Attempts per Game This Season,0.0
Rushing Attempts per Game This Season,0.0
Rushing Attempts per Game Last 1 Game vs. season average,0.0
Third Down Conversion Percentage This Season,0.0
Touchdowns per Game Last 1 Game vs. season average,0.0
Touchdowns per Game @ vs. season average,0.0
Touchdowns per Game Last 3 Games vs. season average,0.0
Yards per Game @ vs. season average,0.0
Yards per Game This Season,0.0
Yards per Pass Attempt Last 3 Games vs. season average,0.0
Yards per Pass Attempt @ vs. season average,0.0
