Feature,Importance
Passing First Downs per Game Last 1 Game vs. season average,0.11301491647973655
Kickoffs per Game Last 1 Game vs. season average,0.04825084477408467
Giveaways per Game @ vs. season average,0.04616621621322803
Takeaways per Game Last 1 Game vs. season average,0.04516848674887936
Punt Attempts per Game This Season,0.04441246314999554
Third Down Conversion Percentage Last 3 Games vs. season average,0.03413728874448008
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.033471825033117165
Opponent Fumbles per Game This Season,0.03337726672042708
Points per Game Last 1 Game vs. season average,0.03010054887803082
Opponent Interceptions Thrown per Game This Season,0.02683671701222975
Kicking Points per Game Last 3 Games vs. season average,0.026389092219540868
Turnover Margin per Game Last 1 Game vs. season average,0.02254263250913222
Yards per Pass Attempt This Season,0.02228304505941268
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.021490219652094716
Passing First Downs per Game Last 3 Games vs. season average,0.020486864236554294
Passing Yards per Game Last 1 Game vs. season average,0.01936029172148113
Kicking Points per Game Last 1 Game vs. season average,0.01919167580270544
First Downs per Game This Season,0.017889174908413588
Turnover Margin per Game This Season,0.016410660335201603
Win Percent Diff,0.016191006785966983
First Downs per Game Last 1 Game vs. season average,0.015567352529282779
Rushing Attempts per Game Last 1 Game vs. season average,0.015046311554911852
Extra Points Made per Game Last 3 Games vs. season average,0.013788538508207694
Extra Points Made per Game Last 1 Game vs. season average,0.013464389394628093
Average Time of Possession (Excluding OT) This Season,0.013133117137316491
Passing First Downs per Game @ vs. season average,0.012974603999527021
Interceptions Thrown Percentage @ vs. season average,0.01175442049162364
First Downs per Game @ vs. season average,0.010748119266669572
Opponent Fumbles per Game Last 1 Game vs. season average,0.010734002423897673
Takeaways per Game @ vs. season average,0.01026456154211923
Kickoffs per Game Last 3 Games vs. season average,0.010052756602512319
Completion Percentage Last 3 Games vs. season average,0.010006751208439376
Touchdowns per Game This Season,0.009959653617973765
Points per Game Last 3 Games vs. season average,0.009836604286725052
Punt Attempts per Game @ vs. season average,0.00956724276141843
Completion Percentage @ vs. season average,0.008642964740707769
Net Punt Yards per Game Last 3 Games vs. season average,0.008329144889095598
Extra Points Made per Game @ vs. season average,0.008305719900800975
Interceptions Thrown Percentage This Season,0.006665562247938359
Touchdowns per Game Last 3 Games vs. season average,0.006225838972964469
Passing First Downs per Game This Season,0.006171189135575794
Punt Attempts per Game Last 1 Game vs. season average,0.005986961541125622
Third Down Conversion Percentage This Season,0.005807337921095602
Giveaways per Game Last 1 Game vs. season average,0.0056479089511046335
Yards per Game Last 3 Games vs. season average,0.0054367245627987915
Passing Yards per Game This Season,0.00531044083152723
Interceptions Thrown Percentage Last 3 Games vs. season average,0.005273789248120238
Average Time of Possession (Excluding OT) @ vs. season average,0.0051492630185085595
Points per Game This Season,0.005040211121276028
Kicking Points per Game @ vs. season average,0.004825771387954604
Kicking Points per Game This Season,0.004722607035350122
Third Down Conversion Percentage Last 1 Game vs. season average,0.004626352265316839
Fourth Downs per Game Last 3 Games vs. season average,0.004611885909899889
Yards per Pass Attempt Last 1 Game vs. season average,0.004544962717570563
Net Punt Yards per Game This Season,0.00450780379276347
Yards per Pass Attempt Last 3 Games vs. season average,0.0045008439149278765
Yards per Game Last 1 Game vs. season average,0.004332034597198421
Passing Yards per Game Last 3 Games vs. season average,0.0041613973469577965
Completion Percentage This Season,0.0038953402365785295
Fourth Downs per Game This Season,0.003859913395208406
Extra Points Made per Game This Season,0.003747652057493019
Touchdowns per Game @ vs. season average,0.0037320022928838876
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.002979102191767767
Passing Yards per Game @ vs. season average,0.0026355175605231426
Yards per Game @ vs. season average,0.0025107474219792474
Takeaways per Game This Season,0.002432063195065845
Opponent Interceptions Thrown per Game @ vs. season average,0.0024258553292504778
Rushing Attempts per Game This Season,0.002350333192104282
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.0019490181677517327
Kickoffs per Game This Season,0.0015228804926420963
Fourth Downs per Game @ vs. season average,0.001071025543376101
Takeaways per Game Last 3 Games vs. season average,0.0009673023716539193
Opponent Fumbles per Game Last 3 Games vs. season average,0.0005420615121490539
Yards per Game This Season,0.00022849482601147692
Interceptions Thrown Percentage Last 1 Game vs. season average,0.0002110116420117655
Touchdowns per Game Last 1 Game vs. season average,1.9666883956314055e-05
Rushing Attempts per Game @ vs. season average,1.9503229299197664e-05
Third Down Conversion Percentage @ vs. season average,3.954908438748522e-06
First Downs per Game Last 3 Games vs. season average,1.7518931023007493e-07
Giveaways per Game Last 3 Games vs. season average,0.0
Fourth Downs per Game Last 1 Game vs. season average,0.0
Completion Percentage Last 1 Game vs. season average,0.0
Is Favorite Home Team,0.0
Giveaways per Game This Season,0.0
Kickoffs per Game @ vs. season average,0.0
Opponent Fumbles per Game @ vs. season average,0.0
Points per Game @ vs. season average,0.0
Net Punt Yards per Game Last 1 Game vs. season average,0.0
Net Punt Yards per Game @ vs. season average,0.0
Rushing Attempts per Game Last 3 Games vs. season average,0.0
Punt Attempts per Game Last 3 Games vs. season average,0.0
Turnover Margin per Game Last 3 Games vs. season average,0.0
Turnover Margin per Game @ vs. season average,0.0
Yards per Pass Attempt @ vs. season average,0.0
