Feature,Importance
Points per Game This Season,0.0792661389932995
Kickoffs per Game @ vs. season average,0.0690566222462737
Turnover Margin per Game Last 1 Game vs. season average,0.047263597834700834
Points per Game Last 1 Game vs. season average,0.04631904201654545
Rushing Attempts per Game Last 1 Game vs. season average,0.0451205007591119
Takeaways per Game Last 1 Game vs. season average,0.041616339007769856
Interceptions Thrown Percentage Last 3 Games vs. season average,0.03970792222308385
Turnover Margin per Game This Season,0.03408989347418534
Win Percent Diff,0.030878733991087953
Kickoffs per Game This Season,0.0292126643217877
Punt Attempts per Game This Season,0.02747760063642212
Completion Percentage @ vs. season average,0.022773222378990397
Touchdowns per Game @ vs. season average,0.020670641882301864
Third Down Conversion Percentage Last 1 Game vs. season average,0.019986997400096223
Points per Game @ vs. season average,0.019802546955376688
Interceptions Thrown Percentage Last 1 Game vs. season average,0.0187433669691888
Rushing Attempts per Game This Season,0.01852364066195214
First Downs per Game This Season,0.017649915548724096
Yards per Pass Attempt This Season,0.01726657187095482
Extra Points Made per Game Last 1 Game vs. season average,0.016765347922165982
Kickoffs per Game Last 1 Game vs. season average,0.016525342610169233
Rushing Attempts per Game @ vs. season average,0.016386728779980753
Fourth Downs per Game Last 1 Game vs. season average,0.016270553448697267
Touchdowns per Game Last 1 Game vs. season average,0.01612487793384585
Interceptions Thrown Percentage @ vs. season average,0.01550920764168458
Passing Yards per Game Last 1 Game vs. season average,0.013387645397207064
Kicking Points per Game Last 3 Games vs. season average,0.01274114352804812
Third Down Conversion Percentage @ vs. season average,0.012105631398260841
Points per Game Last 3 Games vs. season average,0.012020799401107703
Giveaways per Game Last 1 Game vs. season average,0.011175827070731566
Takeaways per Game This Season,0.010976599499343865
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.010940904909018383
Completion Percentage This Season,0.010630744753699265
Extra Points Made per Game @ vs. season average,0.009582368466558425
Turnover Margin per Game Last 3 Games vs. season average,0.008296830750186437
Yards per Game Last 1 Game vs. season average,0.00822006798343568
Takeaways per Game @ vs. season average,0.0079743971211509
First Downs per Game @ vs. season average,0.006989536426957227
Completion Percentage Last 3 Games vs. season average,0.006958036278853515
Net Punt Yards per Game Last 1 Game vs. season average,0.006393009026352107
Opponent Fumbles per Game This Season,0.005999517670918656
Kicking Points per Game This Season,0.0055920903113816445
Passing Yards per Game This Season,0.0055181433927069794
Punt Attempts per Game Last 3 Games vs. season average,0.005428298753498933
Passing Yards per Game @ vs. season average,0.005394239160413198
Average Time of Possession (Excluding OT) @ vs. season average,0.0049323330314164325
Kicking Points per Game Last 1 Game vs. season average,0.004921977502569498
Kicking Points per Game @ vs. season average,0.004785602995334626
Yards per Game Last 3 Games vs. season average,0.004660271305096393
Passing First Downs per Game This Season,0.004530741670442646
Passing First Downs per Game Last 3 Games vs. season average,0.004509524731329689
First Downs per Game Last 3 Games vs. season average,0.00449981652501178
Net Punt Yards per Game @ vs. season average,0.0037435907944189657
Yards per Pass Attempt @ vs. season average,0.003571078017970379
Yards per Game @ vs. season average,0.003498684933853774
Touchdowns per Game This Season,0.003428722221273344
Completion Percentage Last 1 Game vs. season average,0.0034109149140661233
Opponent Interceptions Thrown per Game This Season,0.003264143640755314
Net Punt Yards per Game This Season,0.003216754310200365
Touchdowns per Game Last 3 Games vs. season average,0.003086046893516615
Interceptions Thrown Percentage This Season,0.00298588259228047
Extra Points Made per Game This Season,0.0029835478861254512
Yards per Pass Attempt Last 1 Game vs. season average,0.002709169778590066
Punt Attempts per Game @ vs. season average,0.0026944372106109597
Turnover Margin per Game @ vs. season average,0.0026076906952857775
Opponent Fumbles per Game Last 1 Game vs. season average,0.0024167522586017462
Takeaways per Game Last 3 Games vs. season average,0.001909999473551569
Giveaways per Game This Season,0.0008789388335038333
Opponent Fumbles per Game Last 3 Games vs. season average,0.0007016850777230628
Rushing Attempts per Game Last 3 Games vs. season average,0.0003386123533346738
Punt Attempts per Game Last 1 Game vs. season average,0.000297668580975973
Passing First Downs per Game Last 1 Game vs. season average,6.046985148969929e-05
Is Favorite Home Team,2.109311244339195e-05
Extra Points Made per Game Last 3 Games vs. season average,0.0
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.0
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.0
Average Time of Possession (Excluding OT) This Season,0.0
Fourth Downs per Game @ vs. season average,0.0
Opponent Interceptions Thrown per Game @ vs. season average,0.0
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.0
Giveaways per Game Last 3 Games vs. season average,0.0
Giveaways per Game @ vs. season average,0.0
First Downs per Game Last 1 Game vs. season average,0.0
Fourth Downs per Game This Season,0.0
Fourth Downs per Game Last 3 Games vs. season average,0.0
Kickoffs per Game Last 3 Games vs. season average,0.0
Passing Yards per Game Last 3 Games vs. season average,0.0
Passing First Downs per Game @ vs. season average,0.0
Net Punt Yards per Game Last 3 Games vs. season average,0.0
Opponent Fumbles per Game @ vs. season average,0.0
Third Down Conversion Percentage This Season,0.0
Third Down Conversion Percentage Last 3 Games vs. season average,0.0
Yards per Game This Season,0.0
Yards per Pass Attempt Last 3 Games vs. season average,0.0
