Feature,Importance
Points per Game Last 1 Game vs. season average,0.07431206052762354
Points per Game This Season,0.05540687708588364
Win Percent Diff,0.05494159005754513
Takeaways per Game Last 1 Game vs. season average,0.05044549509979281
Net Punt Yards per Game This Season,0.050279608810623086
Touchdowns per Game @ vs. season average,0.037489926999498865
Rushing Attempts per Game Last 1 Game vs. season average,0.03596340558840429
Kickoffs per Game This Season,0.032097584681576426
Touchdowns per Game Last 1 Game vs. season average,0.030423220267099375
Turnover Margin per Game @ vs. season average,0.02893437210698273
Rushing Attempts per Game @ vs. season average,0.021532923471609948
Takeaways per Game This Season,0.02149569617409482
Turnover Margin per Game Last 1 Game vs. season average,0.02088271914302869
Kickoffs per Game Last 1 Game vs. season average,0.020761891288910653
Interceptions Thrown Percentage This Season,0.019553270338831998
Turnover Margin per Game This Season,0.018419604026459802
Fourth Downs per Game Last 1 Game vs. season average,0.01739447465715084
Kicking Points per Game Last 3 Games vs. season average,0.01710966242829804
Punt Attempts per Game This Season,0.01528315988524537
Interceptions Thrown Percentage Last 1 Game vs. season average,0.014114639787052395
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.01405675575318808
Completion Percentage Last 1 Game vs. season average,0.013884742617057426
Third Down Conversion Percentage @ vs. season average,0.013311480490745708
Yards per Game Last 1 Game vs. season average,0.013310445654656581
Completion Percentage @ vs. season average,0.012466931481456337
Points per Game @ vs. season average,0.012107993749289383
Rushing Attempts per Game This Season,0.011485751619248539
Kickoffs per Game @ vs. season average,0.011258304706872814
Third Down Conversion Percentage Last 1 Game vs. season average,0.011241892514848233
Giveaways per Game Last 1 Game vs. season average,0.011185327301098776
First Downs per Game This Season,0.011015588918185833
Kicking Points per Game @ vs. season average,0.009398700616573916
First Downs per Game Last 3 Games vs. season average,0.009390359989044186
Yards per Pass Attempt Last 1 Game vs. season average,0.008731791898085487
Third Down Conversion Percentage This Season,0.00871498848007388
Passing First Downs per Game Last 1 Game vs. season average,0.008681583766812336
Is Favorite Home Team,0.008316938146380081
Yards per Pass Attempt Last 3 Games vs. season average,0.00778051313943126
Extra Points Made per Game Last 1 Game vs. season average,0.0076408876162182655
Yards per Game This Season,0.007624565239364169
Completion Percentage This Season,0.007472823454485166
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.00745547589348021
Passing First Downs per Game This Season,0.007307783016047635
Takeaways per Game @ vs. season average,0.007142983637393917
Giveaways per Game Last 3 Games vs. season average,0.007139549379471839
Interceptions Thrown Percentage @ vs. season average,0.00694679470013039
Kicking Points per Game Last 1 Game vs. season average,0.006483495613152736
Opponent Fumbles per Game Last 1 Game vs. season average,0.005904885603404942
Opponent Fumbles per Game Last 3 Games vs. season average,0.005330109749992799
Turnover Margin per Game Last 3 Games vs. season average,0.004810014051018184
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.004740144072105137
Passing Yards per Game This Season,0.004376666071216805
Extra Points Made per Game @ vs. season average,0.0043427190507645715
Passing Yards per Game @ vs. season average,0.004157833974333309
Punt Attempts per Game Last 1 Game vs. season average,0.0040805861033202636
Completion Percentage Last 3 Games vs. season average,0.0038517940323428185
Rushing Attempts per Game Last 3 Games vs. season average,0.003768359527535332
Passing Yards per Game Last 3 Games vs. season average,0.0037406766227247867
Interceptions Thrown Percentage Last 3 Games vs. season average,0.003709174513799427
Punt Attempts per Game Last 3 Games vs. season average,0.003614937461679304
Opponent Fumbles per Game @ vs. season average,0.003590782130469481
Passing Yards per Game Last 1 Game vs. season average,0.003584616511426134
First Downs per Game @ vs. season average,0.0035543389624025875
Passing First Downs per Game Last 3 Games vs. season average,0.003442305836371835
Average Time of Possession (Excluding OT) @ vs. season average,0.0034390955318221042
Passing First Downs per Game @ vs. season average,0.003376559454798593
Fourth Downs per Game This Season,0.0031159173251754297
Yards per Game Last 3 Games vs. season average,0.0029130612245532113
Third Down Conversion Percentage Last 3 Games vs. season average,0.0028898324791065927
Touchdowns per Game This Season,0.0026726286943271906
Yards per Pass Attempt @ vs. season average,0.002567706359359308
Giveaways per Game This Season,0.0024052659799170145
Net Punt Yards per Game @ vs. season average,0.0016195716610556583
Fourth Downs per Game @ vs. season average,0.0014212552651134192
Net Punt Yards per Game Last 3 Games vs. season average,0.0012605474989838632
Extra Points Made per Game This Season,0.0011880513005308175
Opponent Fumbles per Game This Season,0.0008793888340144898
First Downs per Game Last 1 Game vs. season average,0.0008523780555911008
Touchdowns per Game Last 3 Games vs. season average,0.00015807150015727
Kicking Points per Game This Season,0.00013808353480579652
Points per Game Last 3 Games vs. season average,6.835293546602081e-05
Giveaways per Game @ vs. season average,3.765627180892584e-05
Average Time of Possession (Excluding OT) This Season,0.0
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.0
Fourth Downs per Game Last 3 Games vs. season average,0.0
Extra Points Made per Game Last 3 Games vs. season average,0.0
Opponent Interceptions Thrown per Game @ vs. season average,0.0
Opponent Interceptions Thrown per Game This Season,0.0
Kickoffs per Game Last 3 Games vs. season average,0.0
Net Punt Yards per Game Last 1 Game vs. season average,0.0
Takeaways per Game Last 3 Games vs. season average,0.0
Punt Attempts per Game @ vs. season average,0.0
Yards per Game @ vs. season average,0.0
Yards per Pass Attempt This Season,0.0
