Feature,Importance
Points per Game This Season,0.07196152527704273
Points per Game Last 1 Game vs. season average,0.05060320948126532
Extra Points Made per Game Last 1 Game vs. season average,0.0475762548189267
Win Percent Diff,0.04337380110749501
Kickoffs per Game This Season,0.041446876871280666
Rushing Attempts per Game Last 1 Game vs. season average,0.030360921333727715
Kickoffs per Game @ vs. season average,0.02423311283462512
Touchdowns per Game Last 1 Game vs. season average,0.022464212050641422
Turnover Margin per Game Last 1 Game vs. season average,0.021395659533636483
Turnover Margin per Game This Season,0.02112434389454763
Passing First Downs per Game @ vs. season average,0.020546556410813408
Extra Points Made per Game @ vs. season average,0.01995605753667815
Takeaways per Game Last 1 Game vs. season average,0.01992051290841361
Interceptions Thrown Percentage @ vs. season average,0.01850902484369371
Kicking Points per Game Last 3 Games vs. season average,0.016642846326798095
Yards per Pass Attempt This Season,0.0159527505123729
Yards per Game Last 3 Games vs. season average,0.015575461496542422
Turnover Margin per Game @ vs. season average,0.015519381714168032
Completion Percentage @ vs. season average,0.01546290530401909
Giveaways per Game Last 1 Game vs. season average,0.014948134544410206
Third Down Conversion Percentage Last 3 Games vs. season average,0.014711008428598875
Passing Yards per Game @ vs. season average,0.014143570418667206
Third Down Conversion Percentage @ vs. season average,0.014095552418609743
Interceptions Thrown Percentage Last 3 Games vs. season average,0.013769263176227939
Kicking Points per Game @ vs. season average,0.013646721714804865
Net Punt Yards per Game This Season,0.01311044750185177
First Downs per Game @ vs. season average,0.012972870531469331
Average Time of Possession (Excluding OT) @ vs. season average,0.012356598738121416
Kickoffs per Game Last 1 Game vs. season average,0.01161698043888103
Kicking Points per Game This Season,0.011149041588181903
Passing Yards per Game This Season,0.01088807388018702
Points per Game @ vs. season average,0.010622960106317369
First Downs per Game Last 1 Game vs. season average,0.009656268464487187
Rushing Attempts per Game This Season,0.009655408047575087
Completion Percentage Last 3 Games vs. season average,0.009480351429437905
Fourth Downs per Game Last 1 Game vs. season average,0.009148609521911315
Rushing Attempts per Game Last 3 Games vs. season average,0.00906761374199476
Interceptions Thrown Percentage Last 1 Game vs. season average,0.008946100475269152
Punt Attempts per Game This Season,0.008760345088511673
Passing Yards per Game Last 1 Game vs. season average,0.0083436118184495
Is Favorite Home Team,0.008332627748335961
Net Punt Yards per Game Last 1 Game vs. season average,0.007952416478625973
Giveaways per Game This Season,0.00791578765326884
Fourth Downs per Game Last 3 Games vs. season average,0.007510085655315852
Takeaways per Game This Season,0.007501545166700244
Third Down Conversion Percentage This Season,0.007481680919432471
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.007376925440672639
Fourth Downs per Game This Season,0.007183100967286824
Interceptions Thrown Percentage This Season,0.006872618295172118
Completion Percentage Last 1 Game vs. season average,0.00658386449635879
Takeaways per Game Last 3 Games vs. season average,0.006514831773353437
Kickoffs per Game Last 3 Games vs. season average,0.006513972581297327
Kicking Points per Game Last 1 Game vs. season average,0.006479140840517203
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.0064220424198291465
Points per Game Last 3 Games vs. season average,0.006412824377461334
Giveaways per Game @ vs. season average,0.006412208219397106
Completion Percentage This Season,0.005933052016690566
Opponent Interceptions Thrown per Game This Season,0.005853413797224817
Opponent Fumbles per Game This Season,0.005728356910051418
Touchdowns per Game This Season,0.005531973527471435
First Downs per Game This Season,0.005437475892223666
Passing First Downs per Game Last 3 Games vs. season average,0.005304321557888013
Passing Yards per Game Last 3 Games vs. season average,0.00462312601156253
Takeaways per Game @ vs. season average,0.004498089121012875
Passing First Downs per Game Last 1 Game vs. season average,0.004492562564326485
Yards per Pass Attempt Last 3 Games vs. season average,0.004436218523884223
Punt Attempts per Game @ vs. season average,0.0041950948147182155
Extra Points Made per Game Last 3 Games vs. season average,0.0040930948904801204
Rushing Attempts per Game @ vs. season average,0.0039821055294225445
First Downs per Game Last 3 Games vs. season average,0.003832276864354644
Touchdowns per Game @ vs. season average,0.00369737398081532
Extra Points Made per Game This Season,0.0036654109736879836
Opponent Fumbles per Game Last 3 Games vs. season average,0.0035474406136814674
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.0033366988697447262
Yards per Game Last 1 Game vs. season average,0.0032402602001408154
Punt Attempts per Game Last 1 Game vs. season average,0.003078906350798274
Third Down Conversion Percentage Last 1 Game vs. season average,0.003066460617114462
Average Time of Possession (Excluding OT) This Season,0.0027516115920511257
Opponent Fumbles per Game Last 1 Game vs. season average,0.0025104502255731574
Yards per Game @ vs. season average,0.002361608731485929
Touchdowns per Game Last 3 Games vs. season average,0.0020246143988079694
Passing First Downs per Game This Season,0.0019209178001683709
Yards per Game This Season,0.0017608525113839608
Opponent Interceptions Thrown per Game @ vs. season average,0.001557395257538909
Punt Attempts per Game Last 3 Games vs. season average,0.0014601581642377749
Yards per Pass Attempt @ vs. season average,0.001394955957651642
Opponent Fumbles per Game @ vs. season average,0.0013290194655625896
Giveaways per Game Last 3 Games vs. season average,0.001005603871837261
Yards per Pass Attempt Last 1 Game vs. season average,0.0006874796118414206
Turnover Margin per Game Last 3 Games vs. season average,0.000480999420886753
Fourth Downs per Game @ vs. season average,0.0
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.0
Net Punt Yards per Game @ vs. season average,0.0
Net Punt Yards per Game Last 3 Games vs. season average,0.0
