Feature,Importance
Turnover Margin per Game Last 1 Game vs. season average,0.08995348967235955
Fourth Downs per Game This Season,0.048306699673920914
Passing First Downs per Game Last 1 Game vs. season average,0.04814481657789981
Net Punt Yards per Game This Season,0.043788100038036626
Net Punt Yards per Game @ vs. season average,0.033253091662376694
Win Percent Diff,0.030755594224950947
Giveaways per Game @ vs. season average,0.030206667042056577
Rushing Attempts per Game @ vs. season average,0.028956031828462566
Rushing Attempts per Game Last 3 Games vs. season average,0.028330252058326517
Kicking Points per Game @ vs. season average,0.024932134134370437
Extra Points Made per Game @ vs. season average,0.021994552984078316
Passing First Downs per Game Last 3 Games vs. season average,0.021631142428054927
Turnover Margin per Game Last 3 Games vs. season average,0.02144045598573237
Kicking Points per Game Last 1 Game vs. season average,0.020896175736973163
Net Punt Yards per Game Last 3 Games vs. season average,0.02073788463866516
Completion Percentage Last 1 Game vs. season average,0.020036641303542668
First Downs per Game This Season,0.019530684270013202
Kicking Points per Game Last 3 Games vs. season average,0.019053916225659336
Yards per Game @ vs. season average,0.018472580286674273
Interceptions Thrown Percentage Last 3 Games vs. season average,0.018226217855258624
Opponent Fumbles per Game @ vs. season average,0.017244858289849428
Rushing Attempts per Game This Season,0.014734356543507162
Touchdowns per Game Last 1 Game vs. season average,0.014192668617112386
Interceptions Thrown Percentage This Season,0.014121494090186235
Third Down Conversion Percentage Last 1 Game vs. season average,0.013739452616848655
Completion Percentage @ vs. season average,0.011638283792497874
Fourth Downs per Game Last 1 Game vs. season average,0.010726840671615457
Average Time of Possession (Excluding OT) @ vs. season average,0.010694400270878365
Kickoffs per Game This Season,0.010026612266155038
Opponent Fumbles per Game Last 3 Games vs. season average,0.01000354460645218
Points per Game Last 1 Game vs. season average,0.009559083311311773
Passing Yards per Game @ vs. season average,0.008917596079473135
Punt Attempts per Game Last 1 Game vs. season average,0.008740837478113396
Takeaways per Game @ vs. season average,0.008649473811259217
Yards per Game Last 1 Game vs. season average,0.008496001163659292
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.00823701373757493
Completion Percentage This Season,0.00814542236507636
Opponent Interceptions Thrown per Game @ vs. season average,0.008135049729762357
Completion Percentage Last 3 Games vs. season average,0.00806149627021327
First Downs per Game Last 3 Games vs. season average,0.00783818634013818
Interceptions Thrown Percentage Last 1 Game vs. season average,0.0075841551886356795
Opponent Interceptions Thrown per Game This Season,0.00757753610143848
Passing Yards per Game Last 3 Games vs. season average,0.0075560993238208375
Third Down Conversion Percentage @ vs. season average,0.007526392404181877
Giveaways per Game This Season,0.0071052502318848165
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.006887564176457449
First Downs per Game @ vs. season average,0.006502141127280146
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.006361507937009869
Giveaways per Game Last 3 Games vs. season average,0.006040070176547964
Yards per Pass Attempt Last 3 Games vs. season average,0.005881172570512281
Rushing Attempts per Game Last 1 Game vs. season average,0.005708167211663372
Points per Game Last 3 Games vs. season average,0.0054477002658712215
Yards per Game Last 3 Games vs. season average,0.005398406113957981
Third Down Conversion Percentage This Season,0.005322916400877636
Takeaways per Game Last 1 Game vs. season average,0.004903090857260624
Points per Game @ vs. season average,0.004873760684018912
Passing Yards per Game Last 1 Game vs. season average,0.004810625829342188
Giveaways per Game Last 1 Game vs. season average,0.004759618658490816
Touchdowns per Game @ vs. season average,0.004634532746137048
Kickoffs per Game Last 3 Games vs. season average,0.004443837592167763
Points per Game This Season,0.004378025329761747
Takeaways per Game Last 3 Games vs. season average,0.0038803381302050114
Punt Attempts per Game This Season,0.003852266591320365
Interceptions Thrown Percentage @ vs. season average,0.003340621603229322
Touchdowns per Game This Season,0.0032599017198496182
Turnover Margin per Game This Season,0.0030907504649368344
Passing Yards per Game This Season,0.0029660123201350657
Extra Points Made per Game Last 1 Game vs. season average,0.0029341413076916997
Yards per Pass Attempt @ vs. season average,0.0028609720141254402
Kicking Points per Game This Season,0.0027332088677950355
Third Down Conversion Percentage Last 3 Games vs. season average,0.0026871201074452466
Yards per Pass Attempt Last 1 Game vs. season average,0.002578702932531267
First Downs per Game Last 1 Game vs. season average,0.002461505551367822
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.0024388577975845314
Passing First Downs per Game This Season,0.0022959608360224077
Touchdowns per Game Last 3 Games vs. season average,0.0021658806421003254
Turnover Margin per Game @ vs. season average,0.002121008653129841
Opponent Fumbles per Game This Season,0.0020875235447175354
Extra Points Made per Game This Season,0.0016692126007256775
Punt Attempts per Game @ vs. season average,0.0013927476402092
Yards per Pass Attempt This Season,0.0010687745985687982
Net Punt Yards per Game Last 1 Game vs. season average,0.0009267460585256229
Takeaways per Game This Season,0.0009039675373108432
Opponent Fumbles per Game Last 1 Game vs. season average,0.0007221510936500618
Fourth Downs per Game @ vs. season average,0.00044080019008452335
Kickoffs per Game Last 1 Game vs. season average,0.0004390615643136576
Punt Attempts per Game Last 3 Games vs. season average,0.0003385270074092671
Passing First Downs per Game @ vs. season average,4.716336317485539e-05
Average Time of Possession (Excluding OT) This Season,3.8677700318731584e-05
Kickoffs per Game @ vs. season average,2.7109953257932356e-06
Extra Points Made per Game Last 3 Games vs. season average,2.314959779529361e-06
Is Favorite Home Team,0.0
Fourth Downs per Game Last 3 Games vs. season average,0.0
Yards per Game This Season,0.0
