Feature,Importance
Extra Points Made per Game Last 1 Game vs. season average,0.22974699923686534
Kickoffs per Game @ vs. season average,0.0836076448392599
Passing First Downs per Game Last 1 Game vs. season average,0.06885203351806378
Takeaways per Game Last 1 Game vs. season average,0.06510029369483354
Third Down Conversion Percentage Last 3 Games vs. season average,0.04786003976989722
Passing Yards per Game This Season,0.04387992214662418
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.039599511395593846
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.03906004577002935
Opponent Fumbles per Game This Season,0.03851229422006251
Touchdowns per Game This Season,0.0300712674256064
Kicking Points per Game Last 1 Game vs. season average,0.0290332228667859
Points per Game Last 1 Game vs. season average,0.02573566873086453
Third Down Conversion Percentage @ vs. season average,0.024951953650600666
Interceptions Thrown Percentage @ vs. season average,0.02229810469659478
Rushing Attempts per Game Last 1 Game vs. season average,0.02223940661032285
Interceptions Thrown Percentage Last 1 Game vs. season average,0.022108753359690047
Opponent Fumbles per Game Last 3 Games vs. season average,0.015228165550097037
Points per Game @ vs. season average,0.015190321638482258
Opponent Interceptions Thrown per Game This Season,0.014099466076507213
Opponent Fumbles per Game Last 1 Game vs. season average,0.012044448440887534
Takeaways per Game This Season,0.01197427473782238
Turnover Margin per Game Last 1 Game vs. season average,0.011502962882706188
Touchdowns per Game @ vs. season average,0.0110621513548647
Opponent Interceptions Thrown per Game @ vs. season average,0.010113619926123384
Rushing Attempts per Game @ vs. season average,0.010015213625930428
Interceptions Thrown Percentage Last 3 Games vs. season average,0.009717593912792826
Turnover Margin per Game This Season,0.008760565330950225
Kickoffs per Game Last 1 Game vs. season average,0.008537182747410742
Touchdowns per Game Last 1 Game vs. season average,0.006724865809276464
Net Punt Yards per Game Last 1 Game vs. season average,0.005909129187912039
Passing First Downs per Game This Season,0.0057453944496192785
Average Time of Possession (Excluding OT) @ vs. season average,0.002787356353586445
Net Punt Yards per Game This Season,0.00233780774913563
Opponent Fumbles per Game @ vs. season average,0.0019686390960250563
Punt Attempts per Game Last 1 Game vs. season average,0.0012983210663906762
Fourth Downs per Game This Season,0.0009398388496051068
Takeaways per Game @ vs. season average,0.0007146257789761896
Passing Yards per Game @ vs. season average,0.0005994869262836571
Net Punt Yards per Game @ vs. season average,7.140657691977046e-05
Giveaways per Game This Season,0.0
Giveaways per Game Last 1 Game vs. season average,0.0
Giveaways per Game Last 3 Games vs. season average,0.0
First Downs per Game @ vs. season average,0.0
Fourth Downs per Game Last 3 Games vs. season average,0.0
Fourth Downs per Game Last 1 Game vs. season average,0.0
Giveaways per Game @ vs. season average,0.0
Is Favorite Home Team,0.0
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.0
Average Time of Possession (Excluding OT) This Season,0.0
Win Percent Diff,0.0
Completion Percentage This Season,0.0
Completion Percentage Last 1 Game vs. season average,0.0
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.0
Fourth Downs per Game @ vs. season average,0.0
First Downs per Game Last 3 Games vs. season average,0.0
First Downs per Game Last 1 Game vs. season average,0.0
First Downs per Game This Season,0.0
Completion Percentage Last 3 Games vs. season average,0.0
Completion Percentage @ vs. season average,0.0
Extra Points Made per Game This Season,0.0
Extra Points Made per Game Last 3 Games vs. season average,0.0
Extra Points Made per Game @ vs. season average,0.0
Points per Game This Season,0.0
Points per Game Last 3 Games vs. season average,0.0
Passing Yards per Game Last 3 Games vs. season average,0.0
Passing Yards per Game Last 1 Game vs. season average,0.0
Passing First Downs per Game Last 3 Games vs. season average,0.0
Interceptions Thrown Percentage This Season,0.0
Passing First Downs per Game @ vs. season average,0.0
Net Punt Yards per Game Last 3 Games vs. season average,0.0
Kicking Points per Game This Season,0.0
Kickoffs per Game Last 3 Games vs. season average,0.0
Kickoffs per Game This Season,0.0
Kicking Points per Game @ vs. season average,0.0
Kicking Points per Game Last 3 Games vs. season average,0.0
Rushing Attempts per Game This Season,0.0
Punt Attempts per Game Last 3 Games vs. season average,0.0
Rushing Attempts per Game Last 3 Games vs. season average,0.0
Third Down Conversion Percentage Last 1 Game vs. season average,0.0
Third Down Conversion Percentage This Season,0.0
Takeaways per Game Last 3 Games vs. season average,0.0
Punt Attempts per Game This Season,0.0
Punt Attempts per Game @ vs. season average,0.0
Touchdowns per Game Last 3 Games vs. season average,0.0
Turnover Margin per Game Last 3 Games vs. season average,0.0
Turnover Margin per Game @ vs. season average,0.0
Yards per Game This Season,0.0
Yards per Game Last 3 Games vs. season average,0.0
Yards per Game Last 1 Game vs. season average,0.0
Yards per Game @ vs. season average,0.0
Yards per Pass Attempt This Season,0.0
Yards per Pass Attempt Last 3 Games vs. season average,0.0
Yards per Pass Attempt Last 1 Game vs. season average,0.0
Yards per Pass Attempt @ vs. season average,0.0
