Feature,Importance
Passing Yards per Game This Season,0.09371816927628121
Yards per Game Last 3 Games vs. season average,0.07855726519594426
Touchdowns per Game Last 1 Game vs. season average,0.06766628168793061
Giveaways per Game @ vs. season average,0.046150382514152426
Takeaways per Game @ vs. season average,0.04443773228622016
Kickoffs per Game @ vs. season average,0.03923554547548579
Points per Game Last 1 Game vs. season average,0.03760772035094433
Points per Game Last 3 Games vs. season average,0.03687296142274009
Third Down Conversion Percentage Last 1 Game vs. season average,0.03370070983505012
Completion Percentage Last 3 Games vs. season average,0.03080551094500219
Completion Percentage Last 1 Game vs. season average,0.02982452379343683
Fourth Downs per Game This Season,0.027271217021546484
Opponent Fumbles per Game Last 1 Game vs. season average,0.02474469485930285
Kicking Points per Game This Season,0.02470761172208846
Rushing Attempts per Game @ vs. season average,0.022957785478115205
Points per Game @ vs. season average,0.022549174526393413
Kickoffs per Game Last 1 Game vs. season average,0.021660219601749162
Interceptions Thrown Percentage Last 1 Game vs. season average,0.01976790077598417
Kicking Points per Game Last 3 Games vs. season average,0.01866835418270219
Passing First Downs per Game Last 1 Game vs. season average,0.016410825441202818
Net Punt Yards per Game Last 3 Games vs. season average,0.015258987315245878
Rushing Attempts per Game Last 1 Game vs. season average,0.015188835112058702
Passing Yards per Game Last 3 Games vs. season average,0.013698248526156998
Opponent Interceptions Thrown per Game Last 1 Game vs. season average,0.01364206070776489
Turnover Margin per Game @ vs. season average,0.012366303427633599
Rushing Attempts per Game This Season,0.012251408662866326
Kickoffs per Game Last 3 Games vs. season average,0.011742038283900365
Touchdowns per Game Last 3 Games vs. season average,0.010965163370481744
Passing First Downs per Game Last 3 Games vs. season average,0.010949637971035204
Extra Points Made per Game @ vs. season average,0.010760475022485382
Net Punt Yards per Game This Season,0.01057236136485396
Passing First Downs per Game @ vs. season average,0.010223785635741596
Rushing Attempts per Game Last 3 Games vs. season average,0.009234304046239861
Yards per Pass Attempt This Season,0.009055595696713522
Touchdowns per Game This Season,0.00889530580996782
First Downs per Game @ vs. season average,0.008789333388241716
Net Punt Yards per Game Last 1 Game vs. season average,0.00819544171210394
Completion Percentage @ vs. season average,0.007983617430035337
Opponent Fumbles per Game This Season,0.0076955347651912935
Punt Attempts per Game This Season,0.00757600109572631
Turnover Margin per Game Last 1 Game vs. season average,0.0075473724363976325
Kicking Points per Game @ vs. season average,0.007425637487910078
Yards per Game Last 1 Game vs. season average,0.0070067789318483285
Extra Points Made per Game Last 1 Game vs. season average,0.006819041774354052
Win Percent Diff,0.006581990630944913
Is Favorite Home Team,0.002636942318527081
Turnover Margin per Game Last 3 Games vs. season average,0.002623833965017036
Opponent Fumbles per Game @ vs. season average,0.001984350544986416
Opponent Interceptions Thrown per Game Last 3 Games vs. season average,0.0019696473359001403
Giveaways per Game Last 1 Game vs. season average,0.0012000184229222597
Interceptions Thrown Percentage @ vs. season average,0.0010976293650361711
Third Down Conversion Percentage @ vs. season average,0.00023571221345510408
Fourth Downs per Game @ vs. season average,0.0001801818532340468
Extra Points Made per Game Last 3 Games vs. season average,0.00012934385678661916
Opponent Interceptions Thrown per Game This Season,8.95054620778309e-05
Takeaways per Game This Season,6.030637842750534e-05
Punt Attempts per Game Last 1 Game vs. season average,5.268128545762257e-05
Average Time of Possession (Excluding OT) Last 1 Game vs. season average,0.0
Completion Percentage This Season,0.0
Extra Points Made per Game This Season,0.0
Average Time of Possession (Excluding OT) Last 3 Games vs. season average,0.0
Average Time of Possession (Excluding OT) This Season,0.0
Opponent Interceptions Thrown per Game @ vs. season average,0.0
Giveaways per Game This Season,0.0
Giveaways per Game Last 3 Games vs. season average,0.0
First Downs per Game This Season,0.0
First Downs per Game Last 1 Game vs. season average,0.0
First Downs per Game Last 3 Games vs. season average,0.0
Fourth Downs per Game Last 3 Games vs. season average,0.0
Fourth Downs per Game Last 1 Game vs. season average,0.0
Average Time of Possession (Excluding OT) @ vs. season average,0.0
Kicking Points per Game Last 1 Game vs. season average,0.0
Kickoffs per Game This Season,0.0
Passing First Downs per Game This Season,0.0
Interceptions Thrown Percentage This Season,0.0
Interceptions Thrown Percentage Last 3 Games vs. season average,0.0
Net Punt Yards per Game @ vs. season average,0.0
Opponent Fumbles per Game Last 3 Games vs. season average,0.0
Points per Game This Season,0.0
Passing Yards per Game @ vs. season average,0.0
Passing Yards per Game Last 1 Game vs. season average,0.0
Third Down Conversion Percentage Last 3 Games vs. season average,0.0
Punt Attempts per Game @ vs. season average,0.0
Punt Attempts per Game Last 3 Games vs. season average,0.0
Takeaways per Game Last 3 Games vs. season average,0.0
Takeaways per Game Last 1 Game vs. season average,0.0
Third Down Conversion Percentage This Season,0.0
Touchdowns per Game @ vs. season average,0.0
Turnover Margin per Game This Season,0.0
Yards per Game This Season,0.0
Yards per Game @ vs. season average,0.0
Yards per Pass Attempt Last 3 Games vs. season average,0.0
Yards per Pass Attempt Last 1 Game vs. season average,0.0
Yards per Pass Attempt @ vs. season average,0.0
